cuboid/cuboid_4,This is a rectangle.
orange/orange_3,This picture looks like an orange.
orange/orange_4,This is an orange.
cuboid/cuboid_2,This picture looks like a green rectangle.
lemon/lemon_4,This picture looks like a lemon.
tomato/tomato_3,This picture looks like a tomato.
corn/corn_2,This is a picture of corn.
cucumber/cucumber_4,This is a cucumber.
plum/plum_3,This picture looks like a red apple.
plum/plum_4,This is an apple.
cucumber/cucumber_2,This is a cucumber.
lime/lime_4,This picture looks like a lime.
triangle/triangle_3,This picture looks like a green scalene triangle.
cube/cube_2,This is a green cube.
cylinder/cylinder_4,This is a cylinder.
potato/potato_3,This picture looks like a potato.
potato/potato_4,This is a potato.
cylinder/cylinder_3,This picture looks like a blue cylinder.
corn/corn_3,This picture looks like corn.
corn/corn_1,This is corn.
lemon/lemon_2,This picture looks like a lemon.
eggplant/eggplant_4,This is an eggplant.
semicylinder/semicylinder_3,This picture looks like a yellow semi-circle.
semicylinder/semicylinder_4,This is a cross section of a circle.
eggplant/eggplant_2,This is an eggplant.
cube/cube_3,This picture looks like a blue cube.
cube/cube_1,This picture looks like a yellow cube.
lime/lime_2,This picture looks like a lime.
