orange/orange_1,Picture looks like an orange
banana/banana_4,THIS IS A BANANA
banana/banana_4,This looks  like  a  slightly  unrippend  fruit  laying on its  side 
banana/banana_4,It is a banana
banana/banana_4,This is a green banana
orange/orange_2,This is an orange
orange/orange_2,This is a yellow apple
cuboid/cuboid_4,THIS RECTANGLESHAPE AND COLOR IS BLUE
cuboid/cuboid_4,Looks like a rectangular block
cuboid/cuboid_4,This is a blue rectangle block
cuboid/cuboid_4,This is a blue rectangular
orange/orange_3,This is an orange
orange/orange_3,This picture is an orange
banana/banana_2,THIS IS A BANANA
banana/banana_2,This is a banana
banana/banana_2,This is a banana
banana/banana_2,This is a yellow banana
banana/banana_2,This is a banana The banana in this picture is yellow
orange/orange_4,THIS IS A MANGO
orange/orange_4,This is an orange
orange/orange_4,This is an orange
orange/orange_4,This looks like an orange
cuboid/cuboid_3,This is a rectangle The rectangle in this picture is red
cuboid/cuboid_3,This is a rectangular red block
cuboid/cuboid_3,This is a red cuboid
cuboid/cuboid_3,This is a red rectangular shape that is solid
cuboid/cuboid_1,this is a cheese
cuboid/cuboid_1,This is a yellow rectangular
banana/banana_3,This is a yellow banana
banana/banana_3,This is a banana
banana/banana_3,THIS IS A BANANA
cuboid/cuboid_2,This is a green block turned at different angles
cuboid/cuboid_2,This is a green rectangular
cuboid/cuboid_2,this looks like a block
cuboid/cuboid_2,This is a stick of butter
cuboid/cuboid_2,THIS RECTANGLESHAPE AND COLOR IS GREEN
banana/banana_1,THIS IS A BANANA
banana/banana_1,This is a banana
banana/banana_1,This is a yellow banana
tomato/tomato_1,This picture looks like a red cherry
tomato/tomato_1,This is a roma tomato
tomato/tomato_1,This is a tomato
tomato/tomato_1,This is a red tomato
corn/corn_4,This is a picture of white corn
corn/corn_4,This is an ear of corn
corn/corn_4,This is an ear of corn It has been husked, which means the outer husk has been removed
corn/corn_4,This is a maize
corn/corn_4,It is an ear of corn
tomato/tomato_2,Several  different  red  meats  that  are in  different  shapes 
lemon/lemon_4,This is an yellow lemon
lemon/lemon_4,This looks like a round lemon
lemon/lemon_4,This is a lemon
lemon/lemon_4,This is a lemon
tomato/tomato_3,This is a large greenhouse tomato
corn/corn_2,This is corn on the cob
corn/corn_2,This is a maize
semicylinder/semicylinder_1,This is a half blue cylinder
arch/arch_4,this shape like a semicircle
arch/arch_4,This  looks  like   a  dark  red  building  block 
arch/arch_4,It is a red neck pillow
arch/arch_4,Picture looks a pink guardian of chopsticks
plum/plum_2,This is an apple
plum/plum_2,This is a red apple
cucumber/cucumber_4,THIS IS A CUCUMBER
cucumber/cucumber_4,It is look likes a cucumber
cucumber/cucumber_4,This is a cucumber
cucumber/cucumber_4,Picture looks like cucumber
plum/plum_3,This is an apple
plum/plum_3,This is a red apple
arch/arch_2,THIS THING COLOUR IS BLUE
arch/arch_2,It looks like a blue tape dispenser
arch/arch_2,This is a plastic stand
arch/arch_2,Picture looks like a blue guardian of chopsticks
arch/arch_2,The object in this picture is blue Picture looks like a small ramp
plum/plum_4,THIS IS A REDCOLOR THING
plum/plum_4,This is an apple
plum/plum_4,
plum/plum_4,This looks like an apple
cucumber/cucumber_3,This is a cucumber The cucumber is green
cucumber/cucumber_3,This is a cucumber
cucumber/cucumber_3,This is a cucumber
cucumber/cucumber_3,This is a cucumber
cucumber/cucumber_1,THIS IS A CUCUMBER
cucumber/cucumber_1,Picture looks like cucumber
arch/arch_3,Picture looks like a blue guardian of chopsticks
arch/arch_3,This looks like a green shape with a cutout C on one side
arch/arch_3,THIS THING COLOUR IS GREEN
cucumber/cucumber_2,This is a cucumber
cucumber/cucumber_2,Picture looks like cucumber
cucumber/cucumber_2,This is a cucumber
cucumber/cucumber_2,This is round THis object is green in colorThis is a cucumber
cucumber/cucumber_2,THIS IS CUCUMBER
arch/arch_1,THIS IS YELLOE COLOR ARTICLE
arch/arch_1,This picture looks like a building part
arch/arch_1,Picture looks like a yellow guardian of chopsticks
triangle/triangle_1,A red triangle wood
triangle/triangle_1,This is a red triangular prism
triangle/triangle_1,This looks like a red triangular wedge
triangle/triangle_1,Picture looks like red cabbage
cube/cube_4,This appears to be a red cube
cube/cube_4,This picture looks like a cube of red jello
cube/cube_4,This is a red block
cube/cube_4,This is a red cubic
cube/cube_4,It looks like a red plastic cube
triangle/triangle_2,Bright  yellow  cheese  cut  in a  wedge  shape   and  posed  various ways 
lime/lime_4,This is a green lemon
lime/lime_4,This looks like a lime
lime/lime_4,This looks like a lime
lime/lime_4,This is a lime
triangle/triangle_3,This is a green triangular prism
cube/cube_2,This is a green cube
cube/cube_2,This is a green cubic
potato/potato_1,Picture looks like a sweet potato
cabbage/cabbage_4,THIS IS A RED CABABAGE
cabbage/cabbage_4,This has a  darker color  and  appears  to be   a  red  cabbage  
cabbage/cabbage_4,This is a head of purple cabbage
cabbage/cabbage_4,This is a red cabbage
potato/potato_2,This is a sweet potato
potato/potato_2,This is a red potato
cylinder/cylinder_4,THIS IS CYLINDERSHAPE AND COLOR ISGREEN
cylinder/cylinder_4,A green metal cylinder
cylinder/cylinder_4,This is a green cylinder
cylinder/cylinder_4,This is a green cylinder
potato/potato_3,This is a sweet potato
potato/potato_3,This is a potato
cabbage/cabbage_2,THIS IS A RED CABABAGE
cabbage/cabbage_2,This is a head of red cabbage
cabbage/cabbage_2,This is an iron ball
cabbage/cabbage_2,This is a red cabbage
cabbage/cabbage_2,This picture is a red cabbage
potato/potato_4,THIS IS POTATO
potato/potato_4,Picture looks like a sweet potato
potato/potato_4,
potato/potato_4,This looks like a potato
cylinder/cylinder_2,This is a cylinder The object is red
cylinder/cylinder_2,This is a cylindrical red block
cylinder/cylinder_2,This is a red cylinder
cylinder/cylinder_2,This is a rectangular red solid shape
cylinder/cylinder_1,THIS IS CYLINDERSHAPE AND COLOR ISYELLOW
cylinder/cylinder_1,This is a yellow cylinder
cabbage/cabbage_3,This is a red cabbage
cabbage/cabbage_3,This is a red cabbage
cabbage/cabbage_3,THIS IS A RED CABABAGE
cylinder/cylinder_3,This is a blue cylinder
cylinder/cylinder_3,This is a blue cylinder
cylinder/cylinder_3,This is a blue cylinder
cylinder/cylinder_3,This is a soda can
cylinder/cylinder_3,THIS IS CYLINDERSHAPE AND COLOR IS BLUE
cabbage/cabbage_1,THIS IS A RED CABABAGE
cabbage/cabbage_1,This is a purple cabbage
cabbage/cabbage_1,This is a red cabbage
tomato/tomato_4,It is a tomato
tomato/tomato_4,This is a large green tomato
tomato/tomato_4,This looks like a tomato
tomato/tomato_4,This is a Tomato
lemon/lemon_3,This is a lemon
lemon/lemon_3,This picture is a lemon
lemon/lemon_3,This is a lemon It is a citrus fruit
lemon/lemon_3,This is a yellow lemon
lemon/lemon_3,It is a lemon
lemon/lemon_1,A large  orange pattern that  looks  round  with distinct  curves 
corn/corn_3,This is a m
corn/corn_3,This is a whole corn on the cob
corn/corn_3,This is a sweet corn cob
corn/corn_3,This is corn
corn/corn_1,This is a maize
lemon/lemon_2,This is an orange
lemon/lemon_2,Picture looks like a yellow lemon
plum/plum_1,Picture looks like an apple
carrot/carrot_4,THIS IS A CARROT
carrot/carrot_4,This  is  a long  and  slightly  crooked lightly  colored  orange 
carrot/carrot_4,That is a carrot
carrot/carrot_4,This is a carrot
semicylinder/semicylinder_2,This is a half red cylinder
semicylinder/semicylinder_2,Picture looks like a red semi-circle block
eggplant/eggplant_4,THIS IS A EGGPLANET
eggplant/eggplant_4,It is an eggplant
eggplant/eggplant_4,This is an eggplant
eggplant/eggplant_4,This is an eggplant
semicylinder/semicylinder_3,This is a half yellow cylinder
semicylinder/semicylinder_3,This is a lemon wedge
carrot/carrot_2,THIS IS A CARROT
carrot/carrot_2,This is a carrot It is a curvy, crooked carrot
carrot/carrot_2,This is a carrot
carrot/carrot_2,This is a carrot
carrot/carrot_2,This is a carrot The carrot is orange
semicylinder/semicylinder_4,THIS IS GREEN COLOR THING
semicylinder/semicylinder_4,This is a half green cylinder
semicylinder/semicylinder_4,
semicylinder/semicylinder_4,This looks like a green upside down C shape
eggplant/eggplant_3,This is an eggplant The eggplant looks black
eggplant/eggplant_3,This is an eggplant
eggplant/eggplant_3,This is an egg plant
eggplant/eggplant_3,This is a eggplant
eggplant/eggplant_1,THIS IS A EGGPLANET
eggplant/eggplant_1,This is an eggplant
carrot/carrot_3,This is a carrot
carrot/carrot_3,This is a carrot
carrot/carrot_3,THIS IS A CARROT
eggplant/eggplant_2,This is an eggplant
eggplant/eggplant_2,This is an eggplant
eggplant/eggplant_2,This is an eggplant
eggplant/eggplant_2,This vegetable is an eggplant
eggplant/eggplant_2,THIS IS EGGPLANET
carrot/carrot_1,THIS IS A CARROT
carrot/carrot_1,This is a carrot
carrot/carrot_1,This is a carrot
triangle/triangle_4,Looks like a blue triangle wood
triangle/triangle_4,This is a blue triangular prism
triangle/triangle_4,This looks like a blue triangular wedge
triangle/triangle_4,Picture looks like cabbage
lime/lime_3,This is a green bulb of some sort
lime/lime_3,This picture  looks like a green lime
lime/lime_3,This is a lime
lime/lime_3,This is green lemon
lime/lime_3,It looks like a lime
lime/lime_1,A  light  green object that appears  almost  see  thru   and  is  in  a  head  shape  and  design 
cube/cube_3,This is a blue cubic
cube/cube_3,This is a blue shaped square object that looks to be solid
cube/cube_3,This is a blue cube
cube/cube_3,This is a blue cube
cube/cube_1,This is a yellow cubic
lime/lime_2,This is a lime
lime/lime_2,Picture looks like a green lemon
