Token,Type,0-arch/arch_4,1-arch/arch_4,2-arch/arch_4,3-arch/arch_4,4-arch/arch_4,0-banana/banana_2,1-banana/banana_2,0-cabbage/cabbage_2,1-cabbage/cabbage_2,2-cabbage/cabbage_2,3-cabbage/cabbage_2,4-cabbage/cabbage_2,0-carrot/carrot_2,1-carrot/carrot_2,2-carrot/carrot_2,3-carrot/carrot_2,0-corn/corn_1,1-corn/corn_1,2-corn/corn_1,3-corn/corn_1,0-cube/cube_4,1-cube/cube_4,2-cube/cube_4,3-cube/cube_4,4-cube/cube_4,0-cuboid/cuboid_4,1-cuboid/cuboid_4,2-cuboid/cuboid_4,3-cuboid/cuboid_4,4-cuboid/cuboid_4,0-cucumber/cucumber_3,1-cucumber/cucumber_3,2-cucumber/cucumber_3,3-cucumber/cucumber_3,4-cucumber/cucumber_3,5-cucumber/cucumber_3,0-cylinder/cylinder_4,1-cylinder/cylinder_4,2-cylinder/cylinder_4,3-cylinder/cylinder_4,0-eggplant/eggplant_1,1-eggplant/eggplant_1,2-eggplant/eggplant_1,3-eggplant/eggplant_1,4-eggplant/eggplant_1,0-lemon/lemon_3,1-lemon/lemon_3,2-lemon/lemon_3,3-lemon/lemon_3,0-lime/lime_2,1-lime/lime_2,2-lime/lime_2,3-lime/lime_2,0-orange/orange_4,1-orange/orange_4,2-orange/orange_4,3-orange/orange_4,0-plum/plum_3,1-plum/plum_3,2-plum/plum_3,3-plum/plum_3,4-plum/plum_3,0-potato/potato_2,1-potato/potato_2,2-potato/potato_2,3-potato/potato_2,0-semicylinder/semicylinder_3,1-semicylinder/semicylinder_3,2-semicylinder/semicylinder_3,3-semicylinder/semicylinder_3,4-semicylinder/semicylinder_3,0-tomato/tomato_3,1-tomato/tomato_3,2-tomato/tomato_3,3-tomato/tomato_3,0-triangle/triangle_3,1-triangle/triangle_3,2-triangle/triangle_3,3-triangle/triangle_3,4-triangle/triangle_3
,,red arch block,red arch block,red arch block,red arch block,red arch block,yellow banana arch,yellow banana arch,cabbage purple ellipsoid,cabbage purple ellipsoid,cabbage purple ellipsoid,cabbage purple ellipsoid,cabbage purple ellipsoid,carrot orange long-cone,carrot orange long-cone,carrot orange long-cone,carrot orange long-cone,corn white long-cone,corn white long-cone,corn white long-cone,corn white long-cone,red cube block,red cube block,red cube block,red cube block,red cube block,blue cuboid block,blue cuboid block,blue cuboid block,blue cuboid block,blue cuboid block,green cucumber ovoid,green cucumber ovoid,green cucumber ovoid,green cucumber ovoid,green cucumber ovoid,green cucumber ovoid,green cylinder block,green cylinder block,green cylinder block,green cylinder block,eggplant purple ovoid,eggplant purple ovoid,eggplant purple ovoid,eggplant purple ovoid,eggplant purple ovoid,yellow lemon ellipsoid,yellow lemon ellipsoid,yellow lemon ellipsoid,yellow lemon ellipsoid,green lime ellipsoid,green lime ellipsoid,green lime ellipsoid,green lime ellipsoid,orange ellipsoid,orange ellipsoid,orange ellipsoid,orange ellipsoid,purple plum ellipsoid,purple plum ellipsoid,purple plum ellipsoid,purple plum ellipsoid,purple plum ellipsoid,brown potato ellipsoid,brown potato ellipsoid,brown potato ellipsoid,brown potato ellipsoid,yellow semicylinder block,yellow semicylinder block,yellow semicylinder block,yellow semicylinder block,yellow semicylinder block,red tomato ellipsoid,red tomato ellipsoid,red tomato ellipsoid,red tomato ellipsoid,green triangle block,green triangle block,green triangle block,green triangle block,green triangle block
3d,rgb,1.4590747989888128e-37,5.890899014243534e-36,4.08094362479438e-36,1.533681652853017e-35,1.2124875719552087e-34,1.517590485217151e-16,7.102298337599663e-16,7.714262698690266e-23,1.6542145080490164e-22,9.394818156339994e-21,4.2564348488593335e-20,1.94950250977973e-24,1.8197562124038232e-24,1.3241620281959814e-24,8.935988593531646e-25,6.025283161564914e-25,3.3849559428899467e-20,3.798554985697174e-20,2.7183976304784506e-20,3.2197649051747944e-20,4.6244105183328123e-35,4.6635423203898223e-35,1.9870653345945666e-35,2.8803371621383813e-35,1.7363801207034142e-35,1.8383017472430494e-19,3.702052112278568e-19,2.54934270706261e-19,3.114807883772612e-19,8.035864312847596e-20,6.517319041204493e-11,6.522765931069123e-10,1.2859704987883403e-10,1.0279900071730907e-10,6.584257082245472e-11,2.3332289902126952e-11,1.287128335516311e-05,9.115109322596694e-06,1.347542175850397e-06,4.3008169318773326e-07,4.0986638663119376e-20,1.2888784245875264e-19,1.783309447569791e-18,4.2351970913015206e-20,9.622955481568984e-20,8.533366321002573e-12,1.0802842334453027e-11,7.80531458341258e-12,2.10721400219406e-12,0.000824243766429603,0.01982951137716433,5.887904480707875e-05,2.2259202991126663e-05,5.5346923643620864e-15,2.1533555478852926e-15,2.1282353040718047e-15,1.1383573641039064e-15,7.692651998171955e-28,3.396541774155876e-28,1.26615320372515e-29,2.1877074525596732e-29,4.951862486268081e-30,7.207721662814346e-28,1.8456169474070742e-27,2.818246559796468e-27,4.933748562323693e-28,5.555951642140954e-08,2.246421087317292e-09,5.1655630408487936e-08,1.474168064422093e-09,3.50346983961125e-08,1.7686271327345767e-30,1.2945169223028146e-30,2.3428828476243416e-30,1.1144645081426558e-30,1.5774705782572978e-05,1.6417889575530357e-05,8.817567001687147e-06,7.601750731314849e-07,2.549286543976489e-06
3d,shape,2.8697714087542815e-08,9.370189228360456e-09,7.797536202740055e-06,9.831886956793699e-08,2.88360809338741e-08,2.5821604408474616e-07,0.0005446068309535904,7.044962213656704e-11,5.693400452409136e-11,1.163468078485673e-07,2.6889830874067397e-08,1.9173631189307824e-06,8.471388753791498e-11,1.7633662199889787e-05,1.5966739889688362e-05,2.1953707780763723e-09,8.436864941978112e-05,0.22323043393279343,1.257875423604079e-06,1.4220492483656416e-08,3.5371391625937016e-10,1.1555221492572883e-07,2.5191956229372092e-09,1.683776110133021e-07,3.6024199925151976e-09,4.847600662038369e-07,7.577793212870836e-09,2.163813099684021e-06,4.162939862406241e-07,1.905589873020422e-06,1.78704899796252e-06,1.0988042955510731e-05,2.7062799578829763e-07,0.00012187977813193876,7.524429099039343e-08,1.745392955093394e-05,6.561323224268019e-07,5.956327263446723e-06,9.83252052028499e-07,0.009481803155568147,0.01356305148869169,2.0257333368360213e-10,1.7916726828106012e-08,7.76767349037371e-07,2.8479865663587092e-08,2.852187268732908e-05,0.00022405863652412338,4.287729861229008e-09,7.818168531536921e-09,8.771199582876857e-08,1.223222420639712e-07,4.146679276745799e-06,7.14219616530934e-08,3.900207291355242e-10,3.5244936879984787e-09,8.080711661894337e-09,2.2991246932507055e-09,5.822624814542331e-09,1.1266010422310131e-09,1.2710706051641686e-07,7.871001487426831e-07,3.318391993791158e-07,6.664631659049344e-10,2.0765912633039877e-09,9.30823019132446e-08,3.16271497872973e-09,2.4622792391622935e-08,5.211763331693872e-05,0.010100723108313638,5.896259173400425e-09,4.8364560572342016e-09,0.00010866903101217083,1.0229109485517482e-09,5.5354472076768595e-11,1.9864407724314887e-09,2.0975714922467445e-06,5.679517534375269e-09,1.3243795240629203e-07,0.000421278667596028,4.9675774649363865e-06
3d,object,4.201405346162913e-18,5.109551326785245e-17,1.379349244466524e-16,1.588148441333088e-15,4.712341182182052e-16,2.87635034504871e-07,1.12368067364979e-05,3.547668097787014e-13,3.730167015999575e-13,1.2429543052673773e-11,1.8096049931785653e-10,4.095040714337681e-11,5.49515034966534e-11,3.0715660853028146e-11,9.476091526790575e-12,6.082057556345634e-11,1.6107489798324546e-07,6.1340894789990055e-06,1.6034937168595206e-06,1.3724647553560437e-11,5.327623391810869e-17,1.497552370416122e-15,5.0677846373089336e-17,5.579189278784628e-16,1.2647438958693223e-16,3.66189990635869e-09,4.295962667026108e-09,2.3572874980745256e-08,5.31129155092318e-08,4.198463292081227e-08,1.6505359317483958e-05,8.363849313074157e-06,8.471977908862134e-06,1.2900827974068471e-05,6.861136128780174e-05,2.2805980916317128e-07,1.0794842161698102e-05,0.021622555198225157,0.026486297791696024,0.18288823856998476,7.156575529893892e-08,3.9747681560828874e-09,3.789302709502779e-09,3.5124129922834923e-10,5.962951277679634e-11,3.111137260019338e-05,8.2750429259523e-05,2.1702473725034087e-08,9.5086806497214e-08,1.6552669722225364e-06,1.1794921233294609e-05,2.315458237133679e-06,8.178860342265474e-07,2.9097974727743276e-10,7.614590747733917e-10,4.2324067431313723e-10,6.065322610036511e-10,8.547092098390621e-14,9.88417218421481e-14,7.080410319451904e-14,1.4406622387434416e-13,2.644322069884433e-13,6.053432005848458e-13,4.24075644020332e-12,2.1414802309397344e-11,5.7325556155169634e-12,8.198916756623206e-07,3.0662231840941084e-05,6.827904941138461e-05,8.045248163394615e-08,7.424543040106749e-08,2.6392231525702803e-11,2.580795252923441e-13,1.1603460913309892e-14,7.093938272437512e-15,1.90616586692034e-05,0.00020362977300111536,6.775651608250374e-06,0.016740303108444318,1.1151479231680774e-05
apple,rgb,0.012087083296482993,0.007228891208701559,0.004739831761528102,0.0023356123316774584,0.0034359492411160718,0.4239262188509212,0.3635492737764067,0.045545562222372764,0.05588834970915948,0.06427365859976451,0.11548361056325747,0.3488903238468498,0.8558165489139192,0.8620726450833571,0.8966847607271723,0.909953799108767,0.29790913169979566,0.30028050480399093,0.3091352962884223,0.31180032258847884,0.3646544357540257,0.35586886128700196,0.0935268773686113,0.08347468623070431,0.05133225749500935,9.523509724911358e-13,1.2674670974498995e-12,1.5590361394073886e-12,2.2315222044282204e-12,3.995357852029541e-11,0.0024510009679764573,0.001704239172691745,0.0022798160563221254,0.0026611547614244875,0.0030454504279455205,0.004372899483966463,2.3534847239254192e-06,3.6211771755933975e-06,5.212856233359028e-06,8.004659316373165e-06,0.15592051429702944,0.16970382822925148,0.18396432420001277,0.25725664164501155,0.34951001185099123,0.018801208106146505,0.016824124043928242,0.016007915548385654,0.02464515206009044,8.78397078269755e-05,3.1411613547609624e-05,0.00029473289901805105,0.00042690204829974246,0.12293195346078764,0.1562886018927505,0.1401730536514512,0.1599081886852629,0.7775825558899659,0.8470903551009857,0.8799520476631126,0.915909561076236,0.9441596087645888,0.9654089891346482,0.964793369793978,0.9650471718865355,0.967825381624278,0.003165795031318338,0.010199568347526103,0.003128354127500331,0.011679207126229808,0.003500935007938659,0.07058275044442526,0.071375052397356,0.0529548186725474,0.04953304672186281,1.7539134544801814e-06,2.053758968077881e-06,3.083306244765508e-06,4.571206167810424e-06,4.0602067302790535e-06
apple,shape,4.646456139739533e-08,2.730881453706377e-11,1.8887784963499128e-12,1.382817914939925e-20,7.213121528514578e-11,4.510834381164745e-28,2.6313160929374276e-13,1.96148431607991e-11,1.548670686781086e-11,1.4956465404035815e-08,2.7727030215710955e-12,1.9111581119097536e-11,7.015704639989166e-26,7.20017949239561e-13,1.7833063093134262e-14,2.3168262259596095e-30,3.326258182439116e-22,5.2368220521850276e-18,9.64224245422229e-12,2.960922278057871e-07,0.0023682013074388933,5.5799075578579194e-05,0.013486913291720819,2.410066816842243e-06,0.5326846473862574,1.0978274935226663e-06,1.3170882208800178e-06,2.19336025235831e-08,7.104407911201538e-10,9.334344109697991e-09,7.484008648506867e-28,1.1390130773319333e-28,5.862624792247435e-27,3.081158489341942e-30,6.705628177219257e-21,7.816408650043105e-07,0.00017956507555721515,4.5253982164548684e-20,5.80699715094076e-14,2.739188809000613e-13,7.529442864261022e-12,5.935553932169782e-07,0.03666265268629517,2.195150257810687e-07,0.007993609894040844,1.6745134098097966e-13,8.673744432846324e-13,1.1122391595261888e-05,0.0033084279690477687,0.06387669822637732,5.403034164243232e-06,0.0029922294959564277,0.007020018566371812,0.9999184638833948,0.8461403775591856,0.997072756555685,0.9926505680818839,0.9999643192559451,0.9999911451058855,0.19923478337871167,0.10810640335797685,0.9999996237683267,0.030264844707646617,0.00567990601153537,0.2424966219147059,0.0015301587175509208,7.448829719330572e-13,6.958827940486226e-08,9.707990789539508e-11,1.3279741037650216e-05,6.45376685943675e-05,9.199938121100989e-07,3.414634733089851e-05,0.712189340811398,0.01125318382253516,6.013082194957806e-11,1.0124099939294835e-18,2.9398023371766936e-11,2.2066380505872912e-17,6.7454429701957635e-09
apple,object,0.00017276654791580437,5.9284218040969974e-05,1.5302985178574258e-06,1.292565822530495e-10,1.128078372441249e-05,9.190967165203782e-15,3.146241563689362e-08,4.686164180792536e-09,9.019807387273816e-08,1.834297436916755e-06,6.584842495476499e-08,5.9076725501586907e-08,3.4323282148827244e-12,7.626922787282354e-05,2.2830759202254104e-07,1.577900411214718e-15,2.0177151829026193e-09,3.9052784571087764e-09,1.6143623133458039e-06,0.032430400758902446,0.9361376814849928,0.9750851924525753,0.8706320784018419,0.47890205870409336,0.997548714183329,5.336088880353259e-09,3.432396787919696e-09,9.23457418254735e-11,4.383741505005765e-11,2.494648344699114e-08,7.16076377581924e-14,2.889016679615614e-14,8.845577184903113e-13,5.1415034222923733e-17,2.954329829181093e-12,2.3866078352391595e-08,1.5634997280846807e-09,2.1355647910376703e-15,5.39809290807091e-12,2.9275978777892286e-11,2.499173322990596e-06,3.563409125808611e-05,0.012732509949715828,0.0015970660421917842,0.001628809881443786,2.2673102380164996e-11,8.143946168709185e-11,1.5719258471400605e-07,7.883086280177857e-05,1.9781005077762486e-05,5.581606866034356e-07,1.3475922946644011e-05,0.00012494052912956336,0.9996393594717052,0.9778639536604314,0.9986272261892374,0.9973007782286805,0.9999221467189604,0.999996602303158,0.9996049111759825,0.9988399996213728,0.999999426253649,0.6269608137879938,0.46865007047896406,0.9591572789595844,0.5460449153004645,1.2830959729116899e-11,3.423201514053808e-08,4.1878576845176945e-09,4.365287555151159e-06,6.561678374716158e-07,2.66693387919132e-05,6.567923541800451e-05,0.9206606875071371,0.4492380268875025,9.208148282392556e-13,3.1756224745657423e-12,7.430767552996363e-13,3.4912580959206827e-13,2.7588670869791826e-11
arch,rgb,0.004887500662887259,0.011052280578068563,0.013273991919342006,0.023288828335925757,0.02481564649997594,0.01039662830983125,0.015018550402981043,0.0012083258603815437,0.0012703890565007752,0.0020979743977032417,0.0023164156250004902,0.00047855966021170815,0.0003875297632900206,0.00037073646501032873,0.00036081466971592615,0.0003480183062340951,0.0019146843896620364,0.0019468649188245364,0.0018413403137929002,0.0018877268660122174,0.0011036645693320872,0.0011325628187555821,0.0028492805378662034,0.0032309969185896183,0.0040988303881854555,0.8618793560732946,0.8585919331535208,0.8442549512753311,0.8298209941197768,0.6048890932345015,0.12099330324713149,0.1841126618451018,0.13675621787901104,0.1299003067945796,0.11889398140578485,0.0961043353497157,0.8088408101767995,0.7843315866091431,0.7058631058053397,0.6422614487810772,0.0021851000779818824,0.00255569360958584,0.0038182500648102726,0.002024698834713447,0.002213451573257636,0.41791853066733925,0.4407824638000165,0.4532203934225815,0.3677239177825155,0.8913010831511455,0.9567837456975528,0.8226494845470723,0.7850008994892467,0.12275047587509083,0.09892697960853142,0.10961446761841262,0.0971140559312289,0.00014519932941816776,0.00012782800871569575,8.838479030155015e-05,9.356630199347982e-05,8.351912855573512e-05,0.00019387628175118429,0.00022610423495984816,0.00025783934038257894,0.0002263018887439543,0.6802072191203561,0.438402010182637,0.6873860586908034,0.4116170045136273,0.6714831750480157,0.014225220118005574,0.013634075386051363,0.01752599803357742,0.01677540478980011,0.8236614158258816,0.8197578302810713,0.7889005301025611,0.690823605125116,0.7389059273822612
arch,shape,0.9999608857032686,0.9806060422596625,0.9965918263567776,0.9998844955586071,0.9999999371812649,1.768812045322501e-08,4.257728476120322e-06,1.287275950418376e-06,5.0027974523921636e-08,3.1624643529807495e-06,1.1795676522449177e-09,1.4609400360335534e-11,1.400352261049583e-08,1.430842660880428e-06,5.297907314270594e-09,2.8530101279986076e-08,5.936577970513613e-05,9.146569302547759e-08,1.2862335696690597e-06,3.6441328291290835e-06,1.6108551799330224e-07,1.2485266041415274e-05,7.63171731009217e-05,0.00017908294875515257,5.261244307466116e-07,0.40734892002107104,5.984972283170507e-05,2.879061024460397e-08,9.613867478631875e-07,0.00015110030614200876,0.00022902760141617823,0.006951663969345796,0.00016155127341782203,1.4300524094810755e-05,2.039928245830391e-06,6.0575341565333595e-06,2.8925646888923245e-06,1.883322111769108e-10,1.5827335342866237e-10,8.939193889002064e-11,1.174236963284081e-05,7.386021364036984e-05,0.001597740439107787,9.165720945390301e-07,8.370659413735617e-06,3.2287369946360477e-09,9.738550870200759e-10,3.713171406813103e-07,1.5445611199997125e-09,7.163747079126455e-07,1.4164694569520127e-07,1.0067749359460558e-05,4.179764566024002e-07,5.658338408726271e-07,1.7411946314450506e-08,1.4364580719758715e-06,6.699800297645318e-06,7.145149876713698e-05,2.5109302538429756e-06,4.49427843089393e-06,2.757891466782678e-08,1.927976222678712e-07,9.382409670988921e-10,4.803704221567474e-09,2.0718163025310755e-09,1.8479822126877768e-10,6.931953165637332e-10,4.6569445478201785e-09,2.0804949255269178e-10,1.3382489881642092e-06,1.446928065025501e-06,1.645860008340712e-10,8.361584413160914e-10,1.23557422319045e-07,5.5654911888425845e-08,3.900303852315141e-06,2.251572429085634e-05,4.255901433852139e-06,3.542561024276264e-07,1.3177097909197339e-05
arch,object,0.9937550499639366,0.37830531472574064,0.8484045730615645,0.9956549680796908,0.9999829962836732,3.2064044276453544e-08,1.4592786501358607e-06,9.358986718701361e-07,6.097913327344968e-08,1.5245040845008086e-06,1.8530885412575765e-09,1.4457261762305645e-11,1.726164979910064e-08,1.9612934620068503e-07,1.4245949366568665e-10,4.7680973675882856e-08,1.1644246789323313e-06,4.238863408635125e-09,2.839172878110262e-08,2.610130345540173e-08,4.990104923643636e-10,3.039370539639589e-08,2.1575080058341943e-07,6.15566708294622e-07,3.120840319048161e-09,0.7265558646382777,0.001849685012661296,5.235879046009252e-07,2.3806005734157315e-05,0.000373800186759885,0.001534157582069116,0.0071149750521615745,0.0003195631001494513,2.8851551221950404e-05,1.3326304112573363e-06,1.8520436774251559e-06,1.9119027917686474e-05,5.461790110430414e-09,1.6986685175643625e-09,1.5654329253826702e-09,3.922583904424607e-07,1.0689547781715655e-05,0.0008369293309011322,1.27118407244738e-07,1.5773415157127018e-06,2.4031666844937403e-08,5.266460464323827e-09,2.863243581405899e-07,1.4926202293539502e-09,1.2088980842978092e-06,5.786016419889738e-07,2.1326703361671405e-05,5.097887498966877e-07,2.49110160159296e-08,1.688063049353349e-09,4.779030908398964e-08,2.5090957578345387e-07,3.6367553343896566e-08,1.0974544341848778e-09,1.1448710864949236e-09,1.9012847868187942e-11,1.5998234471420672e-10,2.6056404010305285e-12,9.284888511265997e-12,8.377028268171618e-12,8.85318537120455e-13,4.896084262718778e-09,1.882901584340029e-08,1.1086623874098699e-09,1.1885671980548566e-06,3.0576701776948674e-06,1.0594116471380417e-11,2.0674582504044432e-11,1.7264166022910736e-09,7.02295714136816e-10,0.00020145646779777177,0.00033616869181333706,1.8388850336028103e-05,5.542209986455655e-06,3.9334194083661075e-05
