Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
tomato,tomato/tomato_3 (red tomato ellipsoid)      cucumber/cucumber_1 (green cucumber ovoid)      tomato/tomato_3 (red tomato ellipsoid)      cube/cube_1 (yellow cube block)      banana/banana_1 (yellow banana arch)      ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,2.0,2.0,0.0,1.0,0.8,1.0,0.666666666667,0.8
tomato,arch/arch_3 (green arch block)      banana/banana_1 (yellow banana arch)      cucumber/cucumber_1 (green cucumber ovoid)      tomato/tomato_3 (red tomato ellipsoid)      cube/cube_1 (yellow cube block)      ,tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
tomato,tomato/tomato_3 (red tomato ellipsoid)      arch/arch_3 (green arch block)      cube/cube_1 (yellow cube block)      banana/banana_1 (yellow banana arch)      cucumber/cucumber_1 (green cucumber ovoid)      tomato/tomato_3 (red tomato ellipsoid)      ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
tomato,tomato/tomato_3 (red tomato ellipsoid)      banana/banana_1 (yellow banana arch)      cucumber/cucumber_1 (green cucumber ovoid)      tomato/tomato_3 (red tomato ellipsoid)      cube/cube_1 (yellow cube block)      ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
tomato,arch/arch_3 (green arch block)      banana/banana_1 (yellow banana arch)      cucumber/cucumber_1 (green cucumber ovoid)      cube/cube_1 (yellow cube block)      tomato/tomato_3 (red tomato ellipsoid)      ,tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
tomato,tomato/tomato_3 (red tomato ellipsoid)      cube/cube_1 (yellow cube block)      arch/arch_3 (green arch block)      banana/banana_1 (yellow banana arch)      cucumber/cucumber_1 (green cucumber ovoid)      tomato/tomato_3 (red tomato ellipsoid)      ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
tomato,banana/banana_1 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      cube/cube_1 (yellow cube block)      tomato/tomato_3 (red tomato ellipsoid)      ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
tomato,tomato/tomato_3 (red tomato ellipsoid)      banana/banana_1 (yellow banana arch)      cube/cube_1 (yellow cube block)      cucumber/cucumber_1 (green cucumber ovoid)      ,tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
tomato,banana/banana_1 (yellow banana arch)      cube/cube_1 (yellow cube block)      cucumber/cucumber_1 (green cucumber ovoid)      tomato/tomato_3 (red tomato ellipsoid)      ,tomato/tomato_3 (red tomato ellipsoid) tomato/tomato_3 (red tomato ellipsoid) ,tomato/tomato_3 (red tomato ellipsoid) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
