Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
wedge,potato/potato_4 (brown potato ellipsoid)      triangle/triangle_3 (green triangle block)      cucumber/cucumber_1 (green cucumber ovoid)      banana/banana_1 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      ,triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,potato/potato_4 (brown potato ellipsoid)      triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      banana/banana_1 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,2.0,0.0,1.0,0.8,1.0,0.666666666667,0.8
wedge,triangle/triangle_3 (green triangle block)      potato/potato_4 (brown potato ellipsoid)      triangle/triangle_3 (green triangle block)      banana/banana_1 (yellow banana arch)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      banana/banana_1 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      potato/potato_4 (brown potato ellipsoid)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,potato/potato_4 (brown potato ellipsoid)      triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      banana/banana_1 (yellow banana arch)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
wedge,potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      cucumber/cucumber_1 (green cucumber ovoid)      tomato/tomato_3 (red tomato ellipsoid)      triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      triangle/triangle_3 (green triangle block)      cucumber/cucumber_1 (green cucumber ovoid)      tomato/tomato_3 (red tomato ellipsoid)      ,triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,potato/potato_4 (brown potato ellipsoid)      triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
wedge,tomato/tomato_3 (red tomato ellipsoid)      potato/potato_4 (brown potato ellipsoid)      cucumber/cucumber_1 (green cucumber ovoid)      banana/banana_1 (yellow banana arch)      triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,4.0,0.0,1.0,0.833333333333,1.0,0.5,0.666666666667
wedge,cucumber/cucumber_1 (green cucumber ovoid)      banana/banana_1 (yellow banana arch)      potato/potato_4 (brown potato ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      triangle/triangle_3 (green triangle block)      carrot/carrot_1 (carrot orange long-cone)      ,triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
 ,,,,,,,,,,,
cylinder,cylinder/cylinder_1 (yellow cylinder block)      potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      tomato/tomato_3 (red tomato ellipsoid)      lime/lime_4 (green lime ellipsoid)      ,cylinder/cylinder_1 (yellow cylinder block) ,,0.0,4.0,0.0,1.0,0.8,0.0,0.0,0.0
cylinder,cylinder/cylinder_1 (yellow cylinder block)      tomato/tomato_3 (red tomato ellipsoid)      cylinder/cylinder_1 (yellow cylinder block)      potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      ,cylinder/cylinder_1 (yellow cylinder block) cylinder/cylinder_1 (yellow cylinder block) ,,0.0,3.0,0.0,2.0,0.6,0.0,0.0,0.0
cylinder,cylinder/cylinder_1 (yellow cylinder block)      potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      lime/lime_4 (green lime ellipsoid)      cylinder/cylinder_1 (yellow cylinder block)      tomato/tomato_3 (red tomato ellipsoid)      ,cylinder/cylinder_1 (yellow cylinder block) cylinder/cylinder_1 (yellow cylinder block) ,,0.0,4.0,0.0,2.0,0.666666666667,0.0,0.0,0.0
cylinder,potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      cylinder/cylinder_1 (yellow cylinder block)      tomato/tomato_3 (red tomato ellipsoid)      ,cylinder/cylinder_1 (yellow cylinder block) cylinder/cylinder_1 (yellow cylinder block) ,,0.0,2.0,0.0,2.0,0.5,0.0,0.0,0.0
cylinder,lime/lime_4 (green lime ellipsoid)      cylinder/cylinder_1 (yellow cylinder block)      banana/banana_1 (yellow banana arch)      potato/potato_4 (brown potato ellipsoid)      cucumber/cucumber_1 (green cucumber ovoid)      tomato/tomato_3 (red tomato ellipsoid)      ,cylinder/cylinder_1 (yellow cylinder block) ,,0.0,5.0,0.0,1.0,0.833333333333,0.0,0.0,0.0
cylinder,cylinder/cylinder_1 (yellow cylinder block)      potato/potato_4 (brown potato ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      banana/banana_1 (yellow banana arch)      ,cylinder/cylinder_1 (yellow cylinder block) ,,0.0,3.0,0.0,1.0,0.75,0.0,0.0,0.0
