Token,Type,0-arch/arch_4,1-arch/arch_4,2-arch/arch_4,3-arch/arch_4,4-arch/arch_4,0-banana/banana_3,1-banana/banana_3,0-cabbage/cabbage_2,1-cabbage/cabbage_2,2-cabbage/cabbage_2,3-cabbage/cabbage_2,4-cabbage/cabbage_2,0-carrot/carrot_4,1-carrot/carrot_4,2-carrot/carrot_4,0-corn/corn_1,1-corn/corn_1,2-corn/corn_1,3-corn/corn_1,0-cube/cube_2,1-cube/cube_2,2-cube/cube_2,3-cube/cube_2,4-cube/cube_2,0-cuboid/cuboid_1,1-cuboid/cuboid_1,2-cuboid/cuboid_1,3-cuboid/cuboid_1,4-cuboid/cuboid_1,0-cucumber/cucumber_2,1-cucumber/cucumber_2,2-cucumber/cucumber_2,3-cucumber/cucumber_2,0-cylinder/cylinder_2,1-cylinder/cylinder_2,2-cylinder/cylinder_2,3-cylinder/cylinder_2,4-cylinder/cylinder_2,0-eggplant/eggplant_3,1-eggplant/eggplant_3,2-eggplant/eggplant_3,3-eggplant/eggplant_3,4-eggplant/eggplant_3,0-lemon/lemon_2,1-lemon/lemon_2,2-lemon/lemon_2,3-lemon/lemon_2,0-lime/lime_2,1-lime/lime_2,2-lime/lime_2,3-lime/lime_2,0-orange/orange_3,1-orange/orange_3,2-orange/orange_3,3-orange/orange_3,0-plum/plum_3,1-plum/plum_3,2-plum/plum_3,3-plum/plum_3,4-plum/plum_3,0-potato/potato_1,1-potato/potato_1,2-potato/potato_1,3-potato/potato_1,0-semicylinder/semicylinder_1,1-semicylinder/semicylinder_1,2-semicylinder/semicylinder_1,3-semicylinder/semicylinder_1,4-semicylinder/semicylinder_1,0-tomato/tomato_2,1-tomato/tomato_2,2-tomato/tomato_2,3-tomato/tomato_2,0-triangle/triangle_3,1-triangle/triangle_3,2-triangle/triangle_3,3-triangle/triangle_3,4-triangle/triangle_3
,,red arch block,red arch block,red arch block,red arch block,red arch block,yellow banana arch,yellow banana arch,cabbage purple ellipsoid,cabbage purple ellipsoid,cabbage purple ellipsoid,cabbage purple ellipsoid,cabbage purple ellipsoid,carrot orange long-cone,carrot orange long-cone,carrot orange long-cone,corn white long-cone,corn white long-cone,corn white long-cone,corn white long-cone,green cube block,green cube block,green cube block,green cube block,green cube block,yellow cuboid block,yellow cuboid block,yellow cuboid block,yellow cuboid block,yellow cuboid block,green cucumber ovoid,green cucumber ovoid,green cucumber ovoid,green cucumber ovoid,red cylinder block,red cylinder block,red cylinder block,red cylinder block,red cylinder block,eggplant purple ovoid,eggplant purple ovoid,eggplant purple ovoid,eggplant purple ovoid,eggplant purple ovoid,yellow lemon ellipsoid,yellow lemon ellipsoid,yellow lemon ellipsoid,yellow lemon ellipsoid,green lime ellipsoid,green lime ellipsoid,green lime ellipsoid,green lime ellipsoid,orange ellipsoid,orange ellipsoid,orange ellipsoid,orange ellipsoid,purple plum ellipsoid,purple plum ellipsoid,purple plum ellipsoid,purple plum ellipsoid,purple plum ellipsoid,brown potato ellipsoid,brown potato ellipsoid,brown potato ellipsoid,brown potato ellipsoid,blue semicylinder block,blue semicylinder block,blue semicylinder block,blue semicylinder block,blue semicylinder block,red tomato ellipsoid,red tomato ellipsoid,red tomato ellipsoid,red tomato ellipsoid,green triangle block,green triangle block,green triangle block,green triangle block,green triangle block
apple,rgb,0.03506004848102746,0.021640599160481555,0.015000518555110118,0.007932602556755623,0.010917734707708831,0.38104006445068916,0.23705436484642206,0.05413075883946453,0.06464325243218036,0.0705235438118705,0.11872515176384758,0.3532484002405841,0.8280387807158106,0.8595626647822854,0.8620034327472147,0.2854747361920894,0.28740128559916506,0.29598304488867455,0.2980708253632427,1.6345268225007323e-06,2.801392371276315e-06,3.3407911443169605e-06,9.330697065800808e-06,1.5425219890471034e-05,0.0035803185524682203,0.003109777895858358,0.0031013052866255345,0.0032739751356625677,0.003057330657224559,0.0033079446694269416,0.0035245531388807382,0.004265641796042217,0.0033583683412686987,0.2639961017222622,0.2473127231830685,0.216705562598636,0.2278837360196235,0.1818504363014145,0.11924951456731718,0.14184006280716024,0.1794624361653331,0.2316796277633405,0.2700684722473906,0.01980866481585657,0.02034949798490556,0.02057028902968615,0.02198343115755818,0.00012964536092506402,5.029849149019725e-05,0.0004043608622239943,0.0005718152182106566,0.6124373546728307,0.7049874522752015,0.4296238051499971,0.325100751464698,0.7705758112058667,0.838508438810178,0.8751857735919071,0.9096445804457087,0.9393875241857778,0.9577016957576371,0.959988725396314,0.9630653047441007,0.9630629755329466,9.322112469760637e-12,1.3859856462950655e-11,2.9600427939413636e-11,6.440350884872667e-11,5.104657640575838e-10,0.465301908957208,0.2759035041924039,0.24850039897634305,0.16566544118288237,3.527664213226995e-06,4.074093900837496e-06,5.933374449213426e-06,8.656116226490819e-06,7.69878138410433e-06
apple,shape,5.180994844204147e-09,1.7637384174961568e-11,1.5553630648171335e-09,8.612458046166498e-16,8.306347319282358e-09,1.3171989360641229e-09,1.4795701414259265e-21,6.020333337027054e-12,3.3643238201576267e-12,1.1394572649303624e-08,7.386537978649903e-11,1.024574456029488e-10,8.608595268207063e-25,1.4778509100450961e-19,2.440854679437742e-06,4.676782327516512e-17,3.2834206032134157e-15,6.232629535766166e-10,5.599526548996051e-07,0.0001035302467384806,0.002301695743453705,3.034812889240924e-06,8.90645377213254e-05,0.33042465324980713,2.1646226104038073e-06,1.4579151484156308e-06,7.538248677431835e-07,2.521422596176435e-07,5.19347351972182e-06,2.1503016289018894e-23,5.812688373272592e-14,2.9120339048229857e-09,8.972080214892853e-11,2.851135685635516e-06,3.475629206274767e-07,2.4623857978133337e-18,2.16470364016048e-08,7.828529359800722e-10,2.405822814896768e-13,0.045603872141610345,0.002159795339234577,0.6987205136603291,0.07782162982907552,0.00013512193231345797,7.563177102300387e-06,5.446502669582191e-05,9.913017032742038e-05,0.0294542521493972,9.218305959433669e-06,0.040691501910246286,0.0043722238218572495,0.9683528037268575,0.9918044762564934,0.976018255115094,0.09185740550375615,0.999970529632799,0.9997146112172356,0.5137325725602182,0.0005778582827761477,0.999999132421737,0.00030080159090159996,1.4490409738820735e-06,0.00011684622293061537,6.713873384708153e-09,5.7513772936644336e-12,3.571633522106675e-21,4.739557499326837e-06,1.4038759924902334e-05,1.1782953453915145e-07,5.433845304523332e-13,4.799338435831909e-09,9.551965994002415e-07,1.3638220905561619e-06,7.872489773123155e-08,2.1341589177839375e-13,3.637801458889159e-10,6.837911473933755e-13,1.0204558385797061e-07
apple,object,0.00048584538484604153,0.00017756998808936253,1.894576549245154e-05,2.0367988449352123e-09,0.0002797101804346426,2.411749291672175e-07,3.845027405616786e-15,5.895141457620321e-09,1.56286108281588e-07,5.147470460659624e-07,1.5668002790616214e-07,2.8634426238862266e-08,4.61991689787338e-15,4.837921723149802e-09,0.022774759437655945,2.686852223999251e-07,2.6980549093236764e-09,1.6936030726903826e-07,0.05740251826291025,1.0095011809597666e-05,8.797471644567546e-07,2.4263912760399073e-07,5.908945764409322e-07,0.0011603065677036211,1.4779953953101831e-08,4.4963197954796345e-09,1.3662379233285815e-09,1.7118382672854903e-08,1.678863719620269e-05,9.23988796761435e-16,2.830929421834874e-10,1.171395494830812e-09,1.2572376941093895e-08,0.036679330672248246,0.0006840853710512326,3.2394884262185354e-10,0.00031085986568747036,0.0008623511422678613,4.2067844289206854e-10,0.0006821711872139303,1.1432027589808413e-05,0.04934303955017369,0.04775055081019688,1.726918827088261e-06,1.6317247470940833e-07,4.217080417223913e-06,3.2272778162939433e-06,4.07482915169019e-05,3.28922243966132e-06,8.725540814974979e-05,0.0002710224949930487,0.9961158707247774,0.9999253861987878,0.955854684874848,0.8636103009844991,0.9999695101964164,0.999993680110553,0.9998606787847041,0.9367598767943124,0.9999995595236053,0.03224385733086183,2.900741818212433e-06,0.052090246766399596,3.628358388382765e-05,1.8340987453791044e-10,1.7126671940743497e-16,5.0943020563432175e-09,1.924204442548097e-08,6.500700256861425e-10,1.677999799267034e-10,8.511737950820971e-07,0.00029355434378584594,7.99669546977278e-05,2.317990496604901e-10,1.309667508155085e-11,1.7912632536871386e-11,2.331776508811733e-12,1.012064912020625e-09
arch,rgb,0.0016220518056545307,0.004128367167029603,0.004980704139235784,0.009289551538600498,0.010327207081128354,0.007865970455422273,0.023835810635900765,0.0005338529757001415,0.0005727530544115347,0.001049820306173839,0.0012138848436819944,0.0001967011396665697,0.00019903841694461993,0.00016783982530206698,0.00016071728793759065,0.0010137766576077086,0.001034349391138996,0.0009698972222594877,0.0009992653244313224,0.9378407008051258,0.9058945415709083,0.9013833698067338,0.8465955020474849,0.735621970536295,0.7531569911395056,0.7793406963268698,0.7799124837261108,0.7727142289660814,0.7848071911214437,0.09236994801905671,0.10307729200525766,0.0818122195571636,0.12638933950916667,0.0006876820309178954,0.0008156991987359564,0.0007435584470757134,0.0008128297099049871,0.0010326112567871411,0.0010274809761175725,0.0008906316791215205,0.000672879390968998,0.0009339588613789683,0.0013671486554916704,0.4848801027508949,0.48158035278185624,0.4791221098338768,0.46594052251031504,0.9271247815214171,0.9746386420194131,0.87183768364006,0.839161063577995,0.009535248998852783,0.005903378587572815,0.02321935346969434,0.037530188948110665,5.066666090592609e-05,4.416374017848482e-05,2.8495360263331043e-05,3.0882766938071624e-05,2.710486290749703e-05,8.999364096355787e-05,8.358189372740424e-05,6.074023675898627e-05,6.103269047975473e-05,0.795266465760041,0.7529186654382647,0.7193710878682675,0.5711490029147255,0.3340454039662781,0.002501561077549573,0.0032081205084744306,0.003442475442160217,0.004896666779425342,0.8538962875036401,0.850810201338489,0.8217451236194449,0.719616907186586,0.7710733290759884
arch,shape,0.999994272214372,0.9898935771093504,0.9949797713862832,0.999934614433918,0.9999999952345457,2.0660698708856362e-08,0.03373267346573792,1.2080671899395484e-06,4.216809454574345e-08,1.0346524407559492e-06,5.064270450729336e-11,2.6557960215095533e-12,5.26404921193704e-12,0.0038396756866410676,5.850763308659865e-08,0.00022142256287389277,3.77158957025603e-07,2.345845757249547e-06,4.145534335807124e-05,5.309926582659025e-06,0.0026058203263550103,0.0176861502632993,0.005869897582397263,2.3644991207250907e-05,2.603855430528486e-05,0.27848911473174404,0.007134827474570926,0.002444753749229431,0.00018389235280043116,3.1965747403593474e-09,2.10149607079586e-06,8.001250956172906e-06,6.861019351812347e-06,0.00046888363622998343,1.9135263978828646e-05,1.8531891416326648e-08,5.186086971316135e-10,0.00018370808156725172,1.0838276205909956e-06,0.0002892533581369714,1.0029372261124085e-05,4.2239033947237426e-07,2.824920672157779e-05,6.764596081229494e-08,8.99069771877058e-10,1.9065673594925457e-08,1.348290799047829e-07,1.5431528098421599e-06,2.6025620881407573e-07,1.0966727450745545e-05,4.196380393791597e-07,6.590720283623165e-08,1.4226773616887273e-07,1.9229561367163835e-08,3.486015649237176e-07,0.0002645157780559138,4.536326315790806e-06,1.6013239546230864e-05,3.106805993008518e-08,1.3939614518870325e-07,3.7034074721784684e-10,1.1109811749028243e-09,2.9320822224843878e-08,4.159404831333389e-08,5.978766031531023e-05,2.018789678518012e-06,2.3224604051431246e-07,1.797263829919843e-06,3.3362261367563424e-07,1.374377064165671e-10,1.7406800279345593e-09,1.2396209516741242e-08,5.515100574618282e-09,3.488849980797948e-06,7.286679219789393e-05,0.00023430234172122907,1.8266849688421182e-06,3.842421250939037e-05
arch,object,0.9961783350682931,0.30496745647509926,0.6636419670000452,0.9946998448625015,0.9999062762980206,8.930480279264866e-09,0.0020543334241630642,1.937690599287202e-06,8.683821386399859e-08,1.7293957269480567e-06,5.3983984229726916e-11,7.43631749462174e-13,2.203280880899496e-11,6.0161617054909124e-05,6.59520401027177e-10,3.9158294963365965e-07,1.3105623922187155e-09,8.1081916266262e-09,4.632542054000528e-07,8.355977898609062e-05,0.11532530798270434,0.22576893077894203,0.06827931382725773,0.00013146608961458944,0.000117720577044819,0.12186988367892776,0.0032675356700787583,0.016472702620960237,0.0019952104006295515,1.0822486663761135e-08,7.297746269117863e-07,7.073300792990506e-06,6.588137404297062e-05,3.3765970540244363e-07,1.6618170233868263e-08,4.126740901192523e-12,2.2583033087854582e-13,2.5686247298875574e-08,8.17554900348113e-07,5.273043368142303e-05,3.0511470993134607e-07,1.4483938537703304e-07,6.181298985830257e-06,8.649514425387906e-08,1.4903396041116587e-09,3.1042804026493324e-08,2.2766518098630625e-07,9.866756135683011e-06,1.8175503484383062e-06,0.0002393791799213433,2.8031693469078373e-06,2.3432018648698074e-09,2.858811635501683e-09,2.2052614721487712e-09,1.8402520211506915e-08,2.0755596952382784e-07,5.675833201458165e-09,4.209823609617568e-09,3.0199866117159894e-11,1.6076936033619577e-10,4.814494838959685e-13,2.990874876591279e-12,4.187199325748325e-11,4.0312556539833626e-11,6.5845634937202195e-06,1.3831777389603243e-07,8.477727640636791e-08,2.9300288714451317e-07,1.8384901271403948e-08,1.2929032846491614e-12,4.0325301394712175e-12,6.1947163560471e-11,5.188309069186996e-11,0.0006112315387597478,0.0027180118877861664,0.00011553073514288241,1.421399832765734e-05,0.0001279833570184475
banana,rgb,2.4327996978902592e-171,6.068868161944189e-169,6.9609345974585595e-174,4.6290297387906747e-178,6.716542923691856e-170,0.9994724894673953,0.9998757424430528,1.3616530486441261e-39,1.8356357979015726e-36,7.904098338518231e-27,1.3862193903100304e-19,9.07841441975869e-32,1.2840804976372532e-16,9.075922491456382e-18,3.4445134038158658e-18,6.44654390522982e-13,1.2514501978208359e-12,4.890255837041761e-13,1.2260583688349486e-12,5.649961570755184e-30,1.05715037119523e-28,1.553132462085934e-27,1.7706735472844128e-22,1.5837532524853216e-23,8.505544017193873e-06,1.8141029130775812e-06,1.7211603742106185e-06,1.6372996815976442e-06,7.819569149544582e-07,5.894536404948193e-06,0.00012848140562816553,3.966164815461124e-05,0.0022770468707909506,2.6134066755300284e-135,7.20724267136802e-135,7.5393657632641525e-140,2.9957780076820325e-137,4.615710902928203e-140,1.2396229733930408e-21,1.1639050108781693e-21,8.785175663362924e-23,5.544201402727225e-16,2.8357117668944464e-10,4.5083675724911965e-17,2.7161930991849563e-18,2.425606761913428e-18,1.0714813878103182e-19,0.001127144937863293,6.155503242840822e-07,0.15529432866848253,0.4865294870678067,1.403676643132652e-13,1.4224122995614517e-16,6.538869989183503e-20,1.9090163672555218e-22,5.221876682335689e-38,2.387660754706431e-37,1.315128626334183e-43,2.2180959250790367e-40,3.659334369917174e-42,1.832800689569922e-28,3.58564354618515e-30,1.720482260074468e-34,1.892894070861815e-34,1.2889361217159546e-210,9.832647938712438e-209,2.4580767443840074e-199,2.6755738125548235e-199,4.3840667745005273e-184,1.5725890670095897e-92,2.35169618121562e-109,1.3365998644755664e-111,1.0288642420890876e-117,9.273192866142843e-31,1.2716702355352606e-29,5.90221671516993e-28,1.413938435148987e-29,2.9943926345582945e-28
banana,shape,0.00010898450496751206,1.6353757716147212e-06,1.727341567302182e-06,2.4830226527433256e-07,1.3281436273244858e-10,0.5718095176323851,0.9999601322562386,2.4908128406072843e-05,0.00012197758095459942,0.00048447745745654755,8.809496987228267e-07,1.2084101418692285e-08,5.248699042337504e-05,0.0012571199727723908,3.978718906170799e-07,1.2474714203480765e-08,1.821169691497536e-05,3.5777009822378435e-06,2.1299222501216693e-06,0.000137306988010686,2.730854584366869e-07,1.305397794917039e-08,1.7223223385366437e-09,8.18038379453783e-06,5.304850864196626e-08,1.5712347154088261e-07,4.859988768608476e-06,1.1692313702013141e-08,3.894603696560445e-08,2.959165130596384e-08,0.09037134064407094,0.0009234879035642238,9.260883478299036e-08,0.00019518671455267874,2.7521061595789128e-05,2.436364794966698e-06,0.0018511720722054897,1.4028636746381933e-06,1.983794902837802e-08,6.245296863989044e-12,0.0076232770919388996,0.09768438355973756,0.008838310545147504,1.0133552685983753e-05,1.0868723724493815e-05,0.0001130308875128972,0.00033070737636716813,3.6260386269952136e-06,1.1824808246939542e-06,4.3800868391977025e-09,5.243500161521403e-07,0.0008667052346362278,0.0014004561371329222,0.0007608556896511226,0.002947546840624235,3.048697153100524e-08,5.755170570919248e-08,1.5268725945700725e-06,1.3330522446962536e-05,5.042211135855698e-07,0.41785618197150504,7.497591377160181e-05,0.0007635037991274319,0.0002914025377189967,0.0008857194365387288,0.00011069566032377606,3.014704632327337e-08,1.4616008544596763e-09,5.386423827216092e-10,0.005499082067881867,0.0027503911362162592,0.0743730625243024,0.0009407541121091979,2.6917391932054077e-07,9.74547626133435e-06,0.0005951050421541787,1.122973364386439e-08,0.00010834706944422354
banana,object,1.5349896675993144e-06,5.288261457152194e-07,8.82958423249361e-08,9.674527195825347e-09,1.5124008021021405e-11,0.9388973840982998,0.9999918270383252,1.8573771996339742e-05,0.00012018208862871774,0.0006361567797610702,3.260264929431461e-07,2.8233684521943984e-09,0.00010051167868693936,0.000397925873653957,1.9187054383677156e-06,4.76288776721321e-08,4.4713228988225155e-05,8.675398467853163e-06,3.4639427255133336e-06,0.0002659019804381842,1.2516796810515611e-06,2.413767863598974e-08,4.920281629067112e-09,1.2993646177507897e-05,3.9005843970722115e-07,3.340544005032033e-07,1.1736391516844375e-05,4.378756471269923e-07,8.17399330018391e-07,4.6118709384306037e-07,0.03202853498516196,0.000716998871153712,8.233136000070745e-05,2.4943965383713102e-05,4.467599462486944e-06,2.1200026070469598e-06,0.0003609458792375639,0.00010144075753734637,9.87249781044306e-07,1.108384597237237e-09,0.07622457787935914,0.5200903343461734,0.0763793568962517,8.666223663711472e-05,4.0512454398008764e-05,0.0004006187565853894,0.001425919204427555,5.137510513949055e-06,4.603038706023394e-06,7.205195392911445e-08,3.084022358694973e-06,0.000980901635253303,0.0005530914384233811,0.0007957359504066161,0.003999204524631236,1.5948750166869346e-07,2.2468633618921007e-07,1.7334014042435141e-06,9.17522688936619e-06,8.936468176632795e-07,0.16803755470556667,0.0003968069657038167,0.000651889182135144,0.0009401592232536161,2.5181466781604093e-07,3.499722203166878e-08,1.323550514036315e-10,4.869575906784733e-12,2.0368799916039525e-12,0.0013174781637145354,0.0007135059438610511,0.009276673117816383,0.000155608894172386,9.210953216797782e-07,7.624940846211992e-05,0.0005158791575093938,4.2839966628006457e-07,0.0003908725995165399
