Token,Type,0-arch/arch_3,1-arch/arch_3,2-arch/arch_3,3-arch/arch_3,4-arch/arch_3,0-banana/banana_1,1-banana/banana_1,2-banana/banana_1,0-cabbage/cabbage_1,1-cabbage/cabbage_1,2-cabbage/cabbage_1,3-cabbage/cabbage_1,0-carrot/carrot_1,1-carrot/carrot_1,2-carrot/carrot_1,3-carrot/carrot_1,4-carrot/carrot_1,5-carrot/carrot_1,0-corn/corn_4,1-corn/corn_4,2-corn/corn_4,3-corn/corn_4,4-corn/corn_4,0-cube/cube_1,1-cube/cube_1,2-cube/cube_1,3-cube/cube_1,0-cuboid/cuboid_1,1-cuboid/cuboid_1,2-cuboid/cuboid_1,3-cuboid/cuboid_1,4-cuboid/cuboid_1,0-cucumber/cucumber_1,1-cucumber/cucumber_1,2-cucumber/cucumber_1,3-cucumber/cucumber_1,4-cucumber/cucumber_1,0-cylinder/cylinder_1,1-cylinder/cylinder_1,2-cylinder/cylinder_1,3-cylinder/cylinder_1,4-cylinder/cylinder_1,0-eggplant/eggplant_4,1-eggplant/eggplant_4,2-eggplant/eggplant_4,3-eggplant/eggplant_4,0-lemon/lemon_1,1-lemon/lemon_1,2-lemon/lemon_1,0-lime/lime_4,1-lime/lime_4,2-lime/lime_4,3-lime/lime_4,4-lime/lime_4,0-orange/orange_1,1-orange/orange_1,2-orange/orange_1,0-plum/plum_3,1-plum/plum_3,2-plum/plum_3,3-plum/plum_3,4-plum/plum_3,0-potato/potato_4,1-potato/potato_4,2-potato/potato_4,3-potato/potato_4,0-semicylinder/semicylinder_3,1-semicylinder/semicylinder_3,2-semicylinder/semicylinder_3,3-semicylinder/semicylinder_3,4-semicylinder/semicylinder_3,0-tomato/tomato_3,1-tomato/tomato_3,2-tomato/tomato_3,3-tomato/tomato_3,0-triangle/triangle_3,1-triangle/triangle_3,2-triangle/triangle_3,3-triangle/triangle_3,4-triangle/triangle_3
,,green arch block,green arch block,green arch block,green arch block,green arch block,yellow banana arch,yellow banana arch,yellow banana arch,cabbage purple ellipsoid,cabbage purple ellipsoid,cabbage purple ellipsoid,cabbage purple ellipsoid,carrot orange long-cone,carrot orange long-cone,carrot orange long-cone,carrot orange long-cone,carrot orange long-cone,carrot orange long-cone,corn white long-cone,corn white long-cone,corn white long-cone,corn white long-cone,corn white long-cone,yellow cube block,yellow cube block,yellow cube block,yellow cube block,yellow cuboid block,yellow cuboid block,yellow cuboid block,yellow cuboid block,yellow cuboid block,green cucumber ovoid,green cucumber ovoid,green cucumber ovoid,green cucumber ovoid,green cucumber ovoid,yellow cylinder block,yellow cylinder block,yellow cylinder block,yellow cylinder block,yellow cylinder block,eggplant purple ovoid,eggplant purple ovoid,eggplant purple ovoid,eggplant purple ovoid,yellow lemon ellipsoid,yellow lemon ellipsoid,yellow lemon ellipsoid,green lime ellipsoid,green lime ellipsoid,green lime ellipsoid,green lime ellipsoid,green lime ellipsoid,orange ellipsoid,orange ellipsoid,orange ellipsoid,purple plum ellipsoid,purple plum ellipsoid,purple plum ellipsoid,purple plum ellipsoid,purple plum ellipsoid,brown potato ellipsoid,brown potato ellipsoid,brown potato ellipsoid,brown potato ellipsoid,yellow semicylinder block,yellow semicylinder block,yellow semicylinder block,yellow semicylinder block,yellow semicylinder block,red tomato ellipsoid,red tomato ellipsoid,red tomato ellipsoid,red tomato ellipsoid,green triangle block,green triangle block,green triangle block,green triangle block,green triangle block
3d,rgb,0.37225587612962296,0.43733493436133913,0.38198551524819513,0.3206477480564354,0.37508682427779844,0.05650109518076087,0.060436551542222015,0.05926802154383324,0.03036014748016646,0.027692941429987104,0.02761172868119911,0.03138410961550215,0.02388789297333999,0.02295140885907755,0.024912137379244595,0.02411147491259722,0.027363983407077744,0.028398300934471855,0.030106017389919446,0.0302787347117266,0.030428779718838398,0.03056658305894408,0.030129833977860843,0.4996246024875574,0.49623398099227,0.49671871261894673,0.47861992404742193,0.4831876096601032,0.500686492445339,0.50115485836498,0.4982001386307538,0.5065523774586944,0.16451623351663167,0.1449077927135405,0.13595858280560388,0.10497457538264898,0.08968045207949721,0.3801226623045752,0.4415060169598153,0.3804501321041621,0.4377825213101952,0.4387078300501949,0.03475336989687268,0.03784369739653595,0.037903882030946044,0.04192340177822917,0.49844017567798843,0.4852069370295907,0.4950663582438635,0.5944412166679109,0.4810136702080821,0.47219293404231216,0.5015555103927388,0.45290639703211377,0.22695688850729756,0.15311843040170003,0.30389652971932557,0.01805856671118127,0.01790690355400983,0.017441231356674306,0.01801169834316297,0.019017467313463588,0.07576012680084451,0.10281943706946609,0.1293552795946675,0.14999169583354047,0.4801885767598035,0.3583065739170318,0.4884406035597441,0.3471635883661554,0.4828747255121903,0.5250194016945311,0.5224296888214822,0.5583537822517342,0.5625578226097039,0.39850586091988727,0.3950810063996789,0.37460868208198017,0.32711304408828795,0.3480578717293681
3d,shape,0.8713261990408663,0.9942543451944662,0.3771404920665865,0.6641655508006513,0.31657445092727443,0.9992763819637166,0.011370929233750176,1.4288289411031005e-06,5.414401759153852e-06,4.4929213035549154e-07,1.5847949817594884e-06,2.987007671688197e-09,5.7684010357956e-10,5.378327405705386e-10,0.9999340829041988,0.7192423314206501,0.0002839573367143194,0.32176218639042653,6.772463070886495e-12,5.429914285105314e-11,1.1145095214185035e-09,3.650656191207838e-07,0.00032188307483880076,0.8870107362227887,0.9577255589887372,0.12031875175999987,0.3456130512518091,0.057666287459047554,0.9841105796897873,0.982832862282198,0.0336082520202937,0.00021987767890847766,2.8895345168327575e-05,2.2023028258496458e-07,3.830750249521531e-06,0.007599710956514218,0.002222064819244486,0.12565134882586124,0.3958196895087622,0.0004940888332185107,0.5605759089335995,0.9805934392809152,0.00012396177326852944,0.004228510575556444,0.08046778291471508,0.33924503438990283,0.0003351195219476089,0.0006144851447130771,8.164547140698739e-05,0.0005224182954571887,0.00011051196696690752,0.0006380121229070346,0.0007311944812706463,7.870058967744325e-06,2.1517525640951028e-08,8.363329267513361e-07,9.706387248237952e-07,9.081077620131676e-06,6.046669870117598e-06,0.00029630738956165154,5.6573162230237755e-06,0.0009741531651899394,2.6416530387592623e-05,0.00011473990164986729,0.0006630377639110889,1.7481255565114847e-06,6.561680898040632e-06,0.08686550991228441,0.005968153274806354,0.5737149092805197,0.09599819714892355,5.0381619753206775e-06,8.397945319487001e-09,3.789026578303059e-08,0.0001665262570148016,0.012372574278683901,0.999995480370449,0.009982302634539201,0.26772001807638957,0.9741441705424425
3d,object,0.6096352912347915,0.9619646320162969,0.19321971451028006,0.7416320826547304,0.33207673830767076,0.9658828857000487,0.0004662334736620979,9.548902236820463e-07,3.235215211343913e-07,8.649873094852351e-09,1.1636298793603459e-08,1.2518084355077886e-10,1.3209450231462084e-09,7.685436239081499e-09,0.9924273586104032,0.002769267026774763,2.1626257938937302e-05,0.001043611334451562,3.513189172582071e-12,6.617529774643053e-11,5.314194018819291e-10,1.1409679757953514e-07,5.41450601695181e-06,0.9648564827977105,0.9955884544749078,0.1753030131883478,0.3936540763537675,0.12898954979387975,0.9602032852608967,0.9412828052743065,0.12197279039356411,0.0010290182318650571,2.422448479943333e-05,3.476328009065962e-07,6.213850074803003e-07,0.00013459992626815848,0.0026140859576777803,0.06400977300654892,0.6192126904554015,0.0022343446938401916,0.820213469423328,0.9626503689642792,2.419139234701559e-05,0.0009395352122819011,0.0045278394880114,0.4428803783311258,0.0001604223682327059,0.001735390182923223,0.0007445593587316789,0.0020080700973807712,0.00010232258804376792,0.00016127737717745142,0.0010347456717637628,3.4121429203750375e-05,2.8575386400033567e-08,7.521811185510295e-08,5.229366032861595e-07,1.063362638030042e-08,9.70111008289431e-09,1.1674749342213766e-07,5.647779676561381e-09,6.366956057198153e-07,5.70828615177938e-07,7.7994923642033e-06,7.607983242040358e-05,1.6970286131932154e-06,5.907756544076066e-05,0.06612582628925366,0.02701680896601044,0.7430140492894236,0.5370465811932615,3.440906649495593e-06,6.350382786423957e-08,4.85115177657203e-07,0.00028211327274597035,0.32205194095647466,0.9999954346886626,0.013977418200374297,0.30805119783082147,0.9389156955826016
angle,rgb,2.898864031192658e-42,2.3472435495599106e-38,8.517443016463875e-38,6.0718431903495e-30,6.944876878010151e-28,3.068038410123147e-08,1.9268963204225593e-07,1.7779426334757225e-07,5.14295581724718e-36,1.3170578271408601e-37,1.4935427530077358e-37,8.676890351659893e-32,2.0825343904808337e-21,1.9762869814742373e-22,5.658391805006454e-20,6.454382874810637e-21,1.6049778102669486e-18,2.1686282248634324e-18,2.218958652173591e-28,6.424193750416666e-28,1.5033645322359508e-27,3.129247773278097e-27,1.5859547013332181e-27,0.9219205648480613,0.9243353421068601,0.9240237090136031,0.9344948921840157,0.9309643828852281,0.9207508764942681,0.9204553277110481,0.9228346240528335,0.9170035787171777,2.211513199805706e-14,3.130041765099357e-15,7.2761261262185e-15,2.269289906912137e-17,3.6423758216299204e-19,0.9586211772242755,0.94848926515761,0.9591603970947601,0.9490533109029359,0.9487701054766551,1.3568425252340452e-28,5.938013628762752e-23,1.6712117771400987e-22,2.706781597521066e-19,0.017050855878465245,0.01764642884758044,0.01109254258002262,5.588686742751567e-06,6.769726149433417e-05,0.0001289738817315619,0.0008356749890086183,0.00117606789391885,4.2087704067790836e-05,6.647405634753989e-07,4.33728821846308e-06,6.28862408723511e-37,1.517471770250802e-35,1.8468342076508624e-38,1.7998009415859677e-35,7.841032886536918e-35,5.103056699330364e-05,0.0003604477856414974,0.00022571586762282935,0.00025127335667892353,0.933657326263164,0.9578315995240446,0.9287967074975307,0.9577220549011862,0.9309438714929976,7.650831622171891e-50,3.1493836361580524e-50,1.3032119816322421e-50,6.646214239155162e-52,5.0525673986589055e-34,3.588481960807989e-33,4.0037616197090223e-32,5.062278709224498e-34,1.0368984105092753e-32
angle,shape,1.1425076938295674e-10,9.849024365949795e-07,8.44566242187026e-05,9.216260039627641e-05,2.1674653126977412e-10,3.1016710601527975e-07,3.868797473131453e-11,9.784436684062809e-05,1.4658856191298473e-13,1.2017956876791823e-12,8.894022267560639e-15,1.9138792091412692e-13,5.779826577502249e-08,3.3818737648185403e-09,6.515726244222679e-05,0.001274821300596107,3.3954031223902404e-05,1.920001264024307e-06,4.592554669340716e-08,9.772440566932174e-09,3.919755157285981e-08,1.2947179904512033e-07,5.82518191903102e-11,5.520215557839321e-08,8.672785504954453e-09,1.3351617170980615e-10,3.626058156024552e-10,2.8956344583885983e-07,1.9512891901236811e-10,1.7641694730847327e-09,1.4140729213220097e-08,1.4463855789425058e-08,8.643370857141905e-09,3.098921284821791e-08,7.68250762652011e-08,8.570284971079239e-07,5.086614871443769e-06,0.00031561223373961956,0.7533086560593633,0.5243872676934724,0.3817743034580678,0.005457910602699293,3.570669676343458e-05,4.08715005680256e-07,3.993534165045217e-05,2.4795871126307006e-08,1.5618622726574616e-06,1.9048047597808312e-05,9.733517192215287e-06,1.1463802083872827e-06,1.536580981315916e-08,1.6190655479776093e-07,9.008367768731081e-08,1.7972174449684561e-09,1.1144413471856567e-09,3.870432330573901e-07,4.345800392383422e-08,5.467836213618706e-10,2.151207999126897e-10,1.143832134116617e-09,1.633446369825238e-11,4.222961892331401e-09,7.261613073308058e-05,1.8368940952927918e-06,6.278357556001811e-06,1.7264243882096881e-06,9.739476707106216e-11,6.35458659959544e-10,5.473721286317478e-09,6.637343658620388e-09,1.6240459546396836e-08,2.067638940157823e-08,2.554071978484191e-08,3.76338029830298e-09,4.564537129239872e-10,1.0639375452211943e-05,1.2334728504796424e-05,0.6520104071395906,0.0008931072942863525,0.0006759084563504584
angle,object,1.620277438717097e-10,1.417284966921653e-07,9.546190395667064e-05,2.8600488198452544e-05,2.550974967325369e-09,1.8177548114538882e-06,1.3418713677050344e-08,3.5804583808618375e-07,2.954242457046e-13,1.6434424376915222e-13,4.306874252178734e-15,4.0502207708697174e-14,1.9758339700265157e-07,4.0117572849996947e-07,5.047554038236753e-06,9.550917478407023e-05,1.6253872310687362e-05,0.00016846867620892768,3.9373741486976314e-08,1.0458398447458865e-08,3.33233604032081e-08,2.102199250917878e-08,4.8300870713973555e-11,9.559459259497453e-06,1.8686737176726685e-06,1.050590602412295e-07,1.409081072666303e-07,8.188689180229614e-05,4.873905703484782e-07,1.8239345105855577e-06,1.9401751519930896e-06,1.6792799442063095e-06,3.181419063761326e-07,4.10231249431417e-07,4.037329285575756e-07,4.06683584865577e-06,1.0836087569318007e-05,0.038669043238618805,0.9259147988698956,0.7286243461712808,0.8917710393252404,0.17274113659561363,6.063963469390211e-07,1.1323277369791192e-06,5.311110108724545e-06,1.49908566761052e-06,1.1713654653988284e-05,4.6144260102675994e-05,3.751221497119001e-05,7.134601824099346e-06,3.1204164181631064e-07,2.6280186684469865e-06,1.1926745479474958e-06,5.995819121995086e-08,1.3835922253340084e-08,2.2462567306679442e-07,3.509322620108779e-07,3.8152157836535455e-12,6.297026767981671e-12,1.1423443282863613e-11,4.941314583100726e-13,2.2767994797943017e-11,9.684080804667866e-06,5.171293648497742e-07,9.952435734489465e-07,5.034370654162064e-07,2.273542268915031e-08,8.69045461251234e-08,2.575676382948251e-06,1.1045543966337104e-06,2.443833725069302e-06,1.8520573723714852e-09,3.72786084379525e-09,1.0067367877410793e-09,5.486323279870157e-10,0.000662467024894851,0.00044257753460032965,0.1148375028437321,0.05399119105792964,0.0033417590014483945
appears,rgb,0.5121894735627953,0.5142924026956154,0.5148849535809528,0.519476765790234,0.5201805282885889,0.5204261060423303,0.5205234086187872,0.5201696096670682,0.5083720344329408,0.5062023117123599,0.5062050155375605,0.5114342446173764,0.5081445138756419,0.5064111919039513,0.5070924918800106,0.5057663935300197,0.5044546157204745,0.503044066852826,0.5128393503128945,0.5131320965623483,0.5133660418141475,0.5135674834217946,0.5132586680174271,0.5116606197996993,0.5115885882280152,0.5115691180133052,0.5118312018370275,0.5123619777010978,0.5118315369580367,0.5118109883931553,0.5117204245688957,0.5114702545545848,0.5260311839264523,0.5257622912773083,0.5257886401295577,0.5246908888263329,0.5237068667094149,0.5141865811085669,0.5121298446998145,0.5137162727505165,0.5119965396249813,0.5119700570877779,0.5142394094184899,0.5175780946773576,0.5177532823465564,0.5196230979699382,0.49722074833116053,0.4974077484323078,0.49670773529790274,0.5208810965896514,0.5225958134698072,0.5226028333072439,0.5215499326655731,0.5223464446787306,0.4968478003995495,0.4968988177352297,0.49211273157484103,0.4967001513108442,0.49598111905167314,0.49096008852956474,0.4919588241554886,0.4891305783206931,0.5129036610410881,0.5088571991477396,0.504748815394839,0.5030074619591827,0.5119266762825186,0.5150002142705925,0.5113123352209527,0.5151344852060835,0.5110950681995854,0.42327560943000897,0.4229014448838232,0.42150164574331656,0.4199067378930713,0.5169366811217182,0.5174130236548512,0.5180791553543623,0.5172709421428847,0.5179010540994027
appears,shape,1.145697537509268e-10,4.812722060971049e-07,1.2434850564056548e-05,0.7046219176866737,0.0005330044585253758,0.027488687892142236,2.787541297240318e-06,0.00016650521927545853,1.6113813051227763e-08,6.488112390380242e-10,0.720059173446074,0.12132890221323375,0.05577110343470973,1.3855073767289504e-06,0.13930736384821787,1.0457604086430515e-10,0.0004216371268407434,1.5973848272868643e-07,0.010607785010670624,0.002760205588738713,0.0038977604843652407,4.345343760304923e-05,1.7906210674276926e-07,0.0019138626441706395,0.013723832121875697,7.984834754270704e-05,9.573594761772589e-06,1.9898320429257077e-05,5.6732949093713205e-05,2.5120836062647265e-05,0.00027644625623598053,0.009837443216407732,0.05117493484627146,0.004432064560980503,0.3445725825941189,0.0029933259048315376,2.9100724458556197e-05,0.0007076265754006596,2.0226795735014452e-06,0.00013274324991677732,4.886692961486649e-07,0.00045829843541061565,0.0017030410222826362,0.040876344038385845,7.62297483938389e-12,7.549177641360969e-08,0.0006492394578043487,0.17528338854825767,0.3130078809983138,0.004480276782851218,0.00010283078645560178,2.6516739917612618e-05,6.430166807597143e-06,0.03373232601573222,0.007898303920439262,0.001077919101903695,0.8935741194915926,0.06537785808210446,0.003034915874809169,2.097206591578296e-06,2.927975175087215e-06,0.001183806774343,0.0016061651431200606,0.00015665869409444208,0.0007203228425628552,0.08620602388390373,0.0025588508866847123,9.753741946643744e-06,1.4436571806024932e-05,0.0002869162548119929,0.0019134512107892953,7.167544734996194e-10,1.314323376251645e-05,8.672417437133805e-05,0.001663048830786779,0.00026587122575421414,8.98250324667807e-06,5.497528660277913e-08,0.8188227047548672,0.002298315388069265
appears,object,3.88128928019159e-10,2.315592647922503e-06,3.091129699683101e-05,0.8281933436812592,0.0015598932521646398,0.09045137042089024,6.32002861557799e-06,0.00028912652818606976,2.9496633143506825e-08,9.118439061686402e-10,0.7078801311377375,0.09677259808568399,0.09286219267197339,2.9832377537263046e-06,0.4298642510369455,5.43729677091822e-10,0.0005661510586723843,6.20807409865796e-07,0.00785752514460953,0.0023083646390660005,0.003152783070130512,4.492643941537743e-05,7.919834247746396e-07,0.002048726572806155,0.01877515429118247,0.00010462762268335232,1.3443766703887e-05,1.7180838813338756e-05,0.00015610445028563835,5.858676028548447e-05,0.0004145716959305327,0.008251349758920421,0.04492356801325985,0.003259145906489135,0.1979902724495981,0.0057770192575319484,3.532274593740323e-05,0.0011168361964133818,3.833555191454638e-06,0.00023588665019530546,1.002051066929686e-06,0.0009452874359869247,0.007662095602035417,0.04145343253159786,2.6958942007283406e-11,1.5710716010076317e-07,0.0004710225165716175,0.24830223379524885,0.3742956288534154,0.008714925956820377,0.00012896771981197005,3.8822988513860755e-05,7.717339769673714e-06,0.043886293052708344,0.007384300101315122,0.0010056962071612857,0.8863031919154095,0.06516753543571704,0.0026634836974094617,2.1077107899874717e-06,2.1777362976371845e-06,0.0008322990869605022,0.0012873573853450751,0.0001242802681124461,0.0009692536289030947,0.05436675120291986,0.004422658393310265,2.9032313445304755e-05,1.6738251565471736e-05,0.0008867364525057756,0.004101647549621852,2.362022719291965e-10,6.607286840070555e-06,4.943226593903283e-05,0.0008703061641813821,0.0009459154087938093,3.953051815226858e-05,1.0215005616395771e-07,0.9260373613612864,0.00542149858445798
