,,red arch,green banana arch,cabbage black sphere,orange carrot cylinder,white corn cylinder,red cube,blue cuboid,green cucumber cylinder,green cylinder,black eggplant cylinder,yellow lemon sphere,green lime sphere,orange sphere,purple plum sphere,brown potato sphere,green semicylinder,yellowish red tomato sphere,blue triangle
,,arch/arch_4,banana/banana_4,cabbage/cabbage_4,carrot/carrot_4,corn/corn_4,cube/cube_4,cuboid/cuboid_4,cucumber/cucumber_4,cylinder/cylinder_4,eggplant/eggplant_4,lemon/lemon_4,lime/lime_4,orange/orange_4,plum/plum_4,potato/potato_4,semicylinder/semicylinder_4,tomato/tomato_4,triangle/triangle_4
apple,rgb,0.999484,0.927262,0.786844,0.447078,0.497176,0.998983,0.76826,0.972,0.897404,0.958508,0.973909,0.813399,0.986146,0.97826,0.961844,0.891464,0.992791,0.851475
apple,shape,0.319505,0.400091,9.70709e-05,0.112968,5.00306e-18,0.00848188,5.65947e-06,1.48197e-08,8.92593e-06,0.289581,0.311083,0.92949,0.999419,0.999212,0.0970846,1.05327e-06,0.206723,1.67079e-05
apple,object,0.330618,0.399913,4.16597e-05,0.00458093,1.73389e-18,0.102768,5.01467e-07,1.54758e-09,1.33024e-06,0.0992021,0.363453,0.951735,0.999754,0.999183,0.0931838,6.97984e-08,0.218561,6.77875e-07
arch,rgb,0.000474262,0.0699925,0.0521095,0.031846,0.09336,0.00270525,0.108088,0.0700944,0.142575,0.0454096,0.0407707,0.190397,0.0329589,0.0118812,0.0350232,0.207766,0.0139089,0.0817385
arch,shape,0.902686,0.672823,0.00015586,0.100511,0.200057,0.00492012,0.292822,0.129282,2.06724e-05,0.00180485,5.88073e-08,4.7366e-13,1.52528e-09,2.10258e-05,3.59853e-05,0.643339,1.98922e-05,0.0636324
arch,object,0.835812,0.618581,0.000134398,0.0068378,0.200129,0.00142075,0.407192,0.125365,1.33776e-05,0.00560171,5.21744e-08,4.27096e-14,2.09172e-10,1.27005e-05,0.0001118,0.556362,4.17338e-06,0.0948012
arched,rgb,8.20281e-31,7.89184e-07,6.21821e-05,0.000101367,0.199935,2.99415e-24,9.42056e-05,1.3852e-09,2.42626e-05,6.63065e-08,6.50644e-12,0.00135353,6.10945e-13,6.48947e-16,9.84579e-12,0.00656358,7.36514e-17,2.39392e-06
arched,shape,0.948467,0.00974396,0.000209627,0.000509354,1.38664e-10,0.000303868,0.014213,1.77473e-05,1.007e-06,0.000131691,6.85836e-10,7.66655e-07,2.47596e-07,8.12546e-07,5.78915e-11,5.79525e-07,1.01996e-08,8.67483e-05
arched,object,0.682547,0.00814739,0.000267283,0.000153672,9.58301e-11,0.000118327,0.0311636,2.07476e-05,2.48983e-06,0.000158538,7.28647e-10,9.92766e-07,1.85157e-07,5.49154e-07,6.5428e-11,1.07815e-06,6.79744e-09,0.000325094
archshaped,rgb,0.000140449,0.0467261,0.0279854,0.00310361,0.0197939,0.00164363,0.0878355,0.0684394,0.121929,0.0410377,0.0193154,0.111564,0.0207051,0.00464864,0.0150692,0.205081,0.00708138,0.0636025
archshaped,shape,0.928777,0.678718,0.0276681,0.109647,0.00178173,0.0414553,0.139752,0.0842955,5.11641e-07,0.287061,1.10998e-07,2.20595e-12,9.75885e-11,2.27721e-06,6.08608e-06,0.591703,3.49328e-09,0.0018912
archshaped,object,0.999836,0.549724,0.00239287,0.114417,8.25877e-07,0.11294,0.0471352,0.0313318,2.58197e-08,0.159958,3.6028e-08,1.10493e-11,7.71178e-10,2.31098e-06,2.88482e-07,0.237468,8.24554e-09,5.87863e-05
arcshape,rgb,6.81031e-35,2.81747e-07,4.06012e-05,6.85131e-05,0.199996,2.5022e-27,6.74939e-05,1.73814e-10,1.27396e-05,1.79844e-08,3.08462e-13,0.00116726,2.36169e-14,8.36142e-18,5.19109e-13,0.00903062,6.92759e-19,1.02732e-06
arcshape,shape,0.968371,0.0126004,0.000225441,0.000712031,9.36095e-11,0.000332535,0.0180357,1.67566e-05,1.00488e-06,0.000148988,4.85562e-10,9.75396e-07,2.40468e-07,8.06174e-07,3.67296e-11,5.46225e-07,7.6563e-09,9.02461e-05
arcshape,object,0.735087,0.0103839,0.000289739,0.000206935,6.57497e-11,0.000123559,0.0398255,1.97504e-05,2.55755e-06,0.000179823,5.09047e-10,1.25589e-06,1.73069e-07,5.3729e-07,4.12964e-11,1.05377e-06,4.92063e-09,0.000358995
banana,rgb,0.820315,0.723756,0.403103,0.987835,0.915875,0.5445,0.0235115,0.390352,0.497127,0.292,0.979555,0.960412,0.920503,0.702391,0.948186,0.580333,0.92568,0.0483899
banana,shape,8.82995e-07,0.218021,3.73024e-09,0.20865,0.993111,1.49573e-07,2.4649e-05,0.294896,0.00790155,1.4872e-07,8.39414e-06,1.88374e-10,3.31121e-08,9.67311e-10,0.000671047,1.01901e-05,8.56062e-06,6.73533e-05
banana,object,1.15484e-06,0.247601,1.93477e-08,0.23542,0.977452,1.93486e-07,1.70254e-06,0.273023,0.00972334,5.50254e-08,1.5527e-05,8.71393e-10,1.47788e-07,3.07259e-09,0.000344168,2.39391e-05,1.25368e-05,1.70829e-05
black,rgb,0.00737597,0.0571648,0.0365387,0.00687744,0.0173093,0.0223331,0.0354876,0.0700227,0.0714707,0.055824,0.0478212,0.0713236,0.0523646,0.0185045,0.0354781,0.100864,0.0351576,0.0356461
