Epoch, Color Log Likelihood, Shape Loglikehood, Object Loglikelihood
1,-26343.2,-27372.4,-26367.5
2,-25028.9,-24300.5,-23201.9
3,-24323.9,-22851.5,-21526.7
4,-23880,-21584.6,-20128.3
5,-23579.7,-21115.4,-19527.9
6,-23361.4,-20514.3,-19024.1
7,-23191.7,-19767.7,-18505.1
8,-23062.6,-19302.8,-18171.3
9,-22951.5,-19126.5,-17743.8
10,-22863.8,-18744.5,-17407.5
11,-22789,-18309.1,-17110.9
12,-22722.3,-18303.1,-16972.4
13,-22664.2,-18220.3,-16959.6
14,-22618.6,-18038.6,-16728.7
15,-22577.2,-17992.2,-16716.6
16,-22538.6,-17632.5,-16471.1
17,-22509.5,-17252.7,-16298.2
18,-22483,-16843.7,-16131.8
19,-22456.2,-16674.7,-15958.9
20,-22434.7,-16614.8,-15810
21,-22411,-16451.4,-15716.7
22,-22390.3,-16280.7,-15615.6
23,-22371.4,-16473.6,-15603.9
24,-22354.8,-16173.3,-15460.8
25,-22339,-16059.3,-15391.3
26,-22324.6,-16130,-15268.9
27,-22308.1,-16079.8,-15238
28,-22299.4,-15926.8,-15139.5
29,-22281.7,-15884.2,-15085.9
30,-22272.4,-15577.3,-14931.4
31,-22263,-15765.5,-14938.9
32,-22256.4,-15830.5,-14899.7
33,-22239.3,-15367.3,-14784.5
34,-22230.6,-15316.6,-14612.3
35,-22222.1,-15314.3,-14644.6
36,-22216.7,-15385.7,-14631.2
37,-22209.2,-15216.2,-14492.8
38,-22199.3,-15096.1,-14438.6
39,-22196.9,-15249.6,-14534.9
40,-22191.2,-15147.8,-14379
41,-22185.2,-15115.7,-14394.4
42,-22180.4,-15111.3,-14299.3
43,-22171.9,-14938.3,-14257.5
44,-22168.3,-14810.8,-14173.4
45,-22164.4,-14915,-14237.2
46,-22158.6,-14890.2,-14204.2
47,-22155.2,-14917.7,-14247.2
48,-22148.7,-14949.6,-14268.6
49,-22144.1,-14993.7,-14264.9
50,-22138.3,-14910.9,-14226.2
51,-22134.3,-14938.4,-14262.9
52,-22127.9,-14783.7,-14205.9
53,-22125.2,-14905.1,-14274.3
54,-22123.9,-14866.5,-14236.3
55,-22118.2,-15100.7,-14286.9
56,-22118.7,-15028.3,-14238.2
57,-22113.4,-14960.9,-14233.6
58,-22108.2,-14717.2,-14083.6
59,-22104.1,-14730.8,-14131.1
60,-22103.7,-14718.9,-14072.5
61,-22099.2,-14768.3,-14073.5
62,-22097,-14572.1,-14024.3
63,-22089.9,-14573.3,-14049
64,-22086.9,-14405.6,-13946.9
65,-22084,-14575.1,-14039.9
66,-22084.7,-14517.4,-14008.8
67,-22080.8,-14846.3,-14169.2
68,-22082.6,-14755.8,-14109.5
69,-22079.2,-14752.7,-14100.9
70,-22071.9,-14355.1,-13935.6
71,-22069.9,-14505.9,-14000.3
72,-22069.6,-14471.7,-13950.9
73,-22068.6,-14518.7,-13963.7
74,-22066.9,-14424.4,-13962.5
75,-22059.8,-14477,-14000
76,-22064.2,-14615.9,-14019
77,-22057.9,-14538.1,-14024.8
78,-22059,-14487.3,-14013
79,-22053.9,-14383.6,-13936.8
80,-22053.9,-14367.1,-13981.6
81,-22049.2,-14460,-14034.2
82,-22050.7,-14457.7,-13998.6
83,-22045,-14378.7,-13993.5
84,-22044.5,-14341.4,-13908.3
85,-22041,-14373.8,-13967.1
86,-22040.5,-14261,-13866.3
87,-22037.7,-14469.2,-14021.4
88,-22040.1,-14429,-13953.6
89,-22033.1,-14307.9,-13964.5
90,-22032.8,-14351.5,-13935.6
91,-22029.7,-14291.3,-13932.7
92,-22033.6,-14551.7,-14004
93,-22030.8,-14578.1,-14015.7
94,-22028.2,-14428.2,-14036.9
95,-22023.1,-14351.7,-14013.9
96,-22022.9,-14345.3,-14002.2
97,-22023,-14516.2,-14103.4
98,-22021.7,-14664.9,-14166
99,-22020.3,-14631.4,-14166.5
100,-22015.7,-14465.7,-14090.1
101,-22014.2,-14543.9,-14114.5
102,-22015.2,-14716.2,-14177.7
103,-22016.8,-14656.5,-14166.7
104,-22012.8,-14392.5,-14024
105,-22008.4,-14360.5,-13961.6
106,-22009.4,-14476.4,-14065
107,-22007.3,-14494.7,-14053.8
108,-22011.5,-14614.3,-14073.3
109,-22001.1,-14321.1,-14009.2
110,-22004,-14327.9,-14009.9
111,-22005.3,-14441.5,-14047.4
112,-22009,-14459,-14024.2
113,-22004.7,-14520.3,-14055.7
114,-22007,-14454.9,-14046.7
115,-21998.3,-14290.1,-13994
116,-22005.9,-14553.9,-14030.6
117,-21998.3,-14302.1,-13984.4
118,-22001.3,-14353.7,-13975.9
119,-21994.1,-14284.5,-13999.8
120,-21999.2,-14382.4,-13997.9
121,-21997.2,-14505.2,-14072.3
122,-21997.4,-14375.1,-14042.5
123,-21994.4,-14519,-14115.4
124,-21989.4,-14295.9,-14046.3
125,-21989.2,-14445.2,-14109.9
126,-21990.5,-14358.5,-14087
127,-21989.6,-14562.9,-14133.9
128,-21988.7,-14302.7,-14057.4
129,-21986.9,-14479.3,-14152.6
130,-21989.6,-14476.2,-14155.5
131,-21983.8,-14435.7,-14164.2
132,-21986.9,-14486.6,-14157.1
133,-21982.1,-14428.6,-14160.2
134,-21982.3,-14400.1,-14144.3
135,-21980.7,-14429.8,-14165.8
136,-21984.5,-14412.3,-14157.5
137,-21982.4,-14495.1,-14201.1
138,-21984.4,-14392.7,-14125.9
139,-21975.8,-14379.1,-14153.6
140,-21977.5,-14428.6,-14176.3
141,-21976.7,-14484.8,-14211.2
142,-21979.1,-14558.3,-14209.8
143,-21974.3,-14443.7,-14206.8
144,-21974.6,-14529.3,-14219.2
145,-21974,-14578,-14230.4
146,-21976.9,-14661.8,-14263.7
147,-21967.8,-14465.9,-14218
148,-21971.7,-14611,-14272.4
149,-21971.2,-14649.5,-14290
