Epoch, Color Log Likelihood, Shape Loglikehood, Object Loglikelihood
1,36579.8,49135.7,47539.8
2,33981.5,41378.7,39368.8
3,32444.8,37545.9,35189.5
4,31417.4,34752.2,32269.7
5,30675.2,32736.9,30394.4
6,30110.4,31310.6,29018.3
7,29664.4,30381.9,27899.5
8,29302.5,29551,26925.4
9,29002.4,28675,26066.2
10,28749.3,27839.7,25408.7
11,28533.1,27116.8,24918.3
12,28346.1,26576.2,24213.4
13,28182.9,26105.6,23818.7
14,28039.3,25708.2,23471.4
15,27912,25342.2,23060.5
16,27798.5,25000.8,22741.1
17,27696.5,24683.5,22445.2
18,27604.6,24419.7,22192.1
19,27521.3,24174.7,21964.3
20,27445.4,23938.6,21745.7
21,27376.1,23746.3,21562.4
22,27312.4,23506.7,21359.3
23,27253.9,23282.6,21165.6
24,27199.8,23071.6,20974.6
25,27149.6,22871,20788
26,27103.1,22676.4,20608.3
27,27059.7,22487.1,20438.1
28,27019.2,22304.1,20278.9
29,26981.3,22128.8,20130.3
30,26945.8,21963.1,19991.1
31,26912.4,21807.6,19860.2
32,26880.9,21661.4,19736.5
33,26851.3,21523.2,19619.4
34,26823.2,21391.5,19508.3
35,26796.7,21265.8,19403.3
36,26771.6,21145.5,19304.2
37,26747.7,21030.2,19210.7
38,26725,20919.6,19122.7
39,26703.5,20813.4,19039.7
40,26682.9,20711.4,18961.6
41,26663.3,20613.3,18888.1
42,26644.5,20518.9,18819
43,26626.6,20428.2,18754.1
44,26609.5,20341.1,18693.6
45,26593,20257.3,18637.2
46,26577.3,20176.9,18584.5
47,26562.2,20099.7,18534.4
48,26547.6,20025.6,18487.2
49,26533.7,19954.4,18443.5
50,26520.2,19886.2,18403.2
51,26507.3,19820.8,18365.3
52,26494.8,19758.2,18328.5
53,26482.8,19698.3,18289.9
54,26471.2,19640.9,18251.1
55,26460,19586,18215.5
56,26449.1,19533.5,18183.6
57,26438.7,19483.3,18154.4
58,26428.5,19435.2,18126.3
59,26418.7,19389.2,18099
60,26409.2,19345.2,18071.7
61,26400,19303.1,18043.6
62,26391.1,19262.9,18015.6
63,26382.4,19224.4,17989
64,26374,19187.8,17964.4
65,26365.9,19152.8,17941.6
66,26357.9,19119.2,17920.2
67,26350.2,19087.7,17901.4
68,26342.7,19056,17884.1
69,26335.4,19025.1,17866.1
70,26328.3,18991.6,17847.2
71,26321.4,18957.9,17828.7
72,26314.7,18924.2,17810.7
73,26308.1,18891.3,17793.4
74,26301.8,18860.1,17776.7
75,26295.5,18829.3,17760.4
76,26289.4,18798.7,17744.5
77,26283.5,18768.7,17729
78,26277.7,18739.6,17713.8
79,26272.1,18711.7,17698.8
80,26266.6,18684.7,17684.1
81,26261.2,18658.4,17669.6
82,26255.9,18632.7,17655.4
83,26250.7,18607.7,17641.5
84,26245.7,18583.1,17627.8
85,26240.8,18559.2,17614.4
86,26236,18535.7,17601.3
87,26231.2,18512.9,17588.4
88,26226.6,18490.5,17575.9
89,26222.1,18468.8,17563.6
90,26217.7,18447.5,17551.6
91,26213.3,18426.8,17539.9
92,26209.1,18406.7,17528.4
93,26204.9,18387,17517.3
94,26200.8,18367.9,17506.3
95,26196.8,18349.3,17495.7
96,26192.9,18331.3,17485.2
97,26189.1,18313.8,17474.9
98,26185.3,18296.8,17464.8
99,26181.6,18280.2,17454.9
100,26177.9,18264.2,17445.2
101,26174.3,18248.6,17435.6
102,26170.8,18233.4,17426.4
103,26167.4,18218.7,17417.3
104,26164,18204.4,17408.5
105,26160.7,18190.4,17400.1
106,26157.4,18176.7,17392
107,26154.2,18163.3,17384.2
108,26151,18150.2,17376.9
109,26147.9,18137.4,17370.2
110,26144.9,18125,17364.1
111,26141.9,18112.8,17358.7
112,26138.9,18100.9,17354.1
113,26136,18089.5,17350.4
114,26133.2,18078.5,17347.7
115,26130.3,18067.9,17346.3
116,26127.6,18057.9,17346.1
117,26124.9,18048.3,17347.2
118,26122.2,18039.4,17349.7
119,26119.5,18030.8,17353.6
120,26116.9,18023,17358.4
121,26114.4,18015.7,17363.6
122,26111.8,18009,17368.6
123,26109.4,18002.9,17373
124,26106.9,17996.9,17376.4
125,26104.5,17991.3,17378.8
126,26102.1,17986,17380.7
127,26099.8,17980.5,17381.9
128,26097.5,17975.2,17382.5
129,26095.2,17968.7,17382.8
130,26092.9,17963.8,17382.4
131,26090.7,17955.8,17381.4
132,26088.5,17951.4,17380
133,26086.4,17945,17377.4
134,26084.3,17939.3,17373.9
135,26082.2,17945.4,17368.8
136,26080.1,17919.4,17361.2
137,26078,17906.1,17344.9
138,26076,17901.8,17294.6
139,26074,17911.9,17297.1
140,26072.1,17885.5,17285.4
141,26070.1,17880.8,17278.3
142,26068.2,17875.2,17271.9
143,26066.3,17872.3,17273.3
144,26064.5,17871,17309
145,26062.6,17867.5,17309.6
146,26060.8,17862.2,17293.8
147,26059,17853.5,17268.4
148,26057.3,17854.8,17236.2
149,26055.5,17819.1,17230.5
150,26053.8,17805.6,17235.7
151,26052.1,17797.8,17255.6
152,26050.4,17798,17232.4
153,26048.7,17798.2,17214.4
154,26047.1,17763.8,17185.2
155,26045.4,17748.5,17171.8
156,26043.8,17722.6,17161.4
157,26042.2,17706.4,17159.8
158,26040.6,17678.1,17164.6
159,26039.1,17665.9,17189.9
160,26037.5,17664.5,17159
161,26036,17664.1,17160.2
162,26034.5,17681,17143
163,26033,17623.9,17133.5
164,26031.6,17628.4,17126.9
165,26030.1,17639.7,17111.3
166,26028.7,17604.8,17095.7
167,26027.2,17590.6,17084.3
168,26025.8,17577.9,17052.4
169,26024.4,17599.3,17030.7
170,26023.1,17570.1,17046.6
171,26021.7,17547,17016.8
172,26020.3,17547.7,17020
173,26019,17546.7,17024.2
174,26017.7,17539,17026.6
175,26016.4,17556.5,17030.5
176,26015.1,17556.5,17010.3
177,26013.8,17506.5,17014.4
178,26012.5,17538.1,17046.6
179,26011.3,17490.8,17021.1
180,26010,17510.4,17015.7
181,26008.8,17482.6,17006.3
182,26007.6,17463.8,16998
183,26006.4,17434.7,17001.8
184,26005.2,17418.8,16999.4
185,26004,17432.3,16957.9
186,26002.8,17430.1,16983.8
187,26001.7,17404.6,16969.3
188,26000.5,17394.8,16962.7
189,25999.4,17392.6,16963.2
190,25998.2,17389.5,16955.4
191,25997.1,17397.3,16956.7
192,25996,17385.2,16964.9
193,25994.9,17370.3,16965.7
194,25993.8,17365.7,16973.2
195,25992.7,17350.1,16981.5
196,25991.7,17375,16977.3
197,25990.6,17375.8,16987.3
198,25989.6,17376.5,16994.6
199,25988.5,17371.6,16922.6
200,25987.5,17374.3,16920.8
201,25986.5,17368.3,16918.4
202,25985.5,17363.4,16915.2
203,25984.5,17364.2,16912.7
204,25983.5,17355.3,16986.4
205,25982.5,17348,16971.4
206,25981.5,17345,16971
207,25980.6,17341.7,16970.9
208,25979.6,17335.5,16973
209,25978.6,17322.9,16976.1
210,25977.7,17319.8,16976.3
211,25976.8,17311.6,16975
212,25975.8,17305.2,16973.6
213,25974.9,17302.8,16973.4
214,25974,17303.9,16974.2
215,25973.1,17310.1,16974.7
216,25972.2,17293.3,16975.5
217,25971.3,17281.8,16976.9
218,25970.4,17278.6,16978.6
219,25969.6,17270.8,16980.9
220,25968.7,17265.9,16984.6
221,25967.8,17264.7,16988.4
222,25967,17267,16992.9
223,25966.1,17273.1,16998
224,25965.3,17259.8,17002.8
225,25964.5,17247.8,17007.9
226,25963.6,17244.5,17012.4
227,25962.8,17236.1,17016.2
228,25962,17233,17019.7
229,25961.2,17232.2,17023.5
230,25960.4,17239.2,17026.5
231,25959.6,17238.4,17028.6
232,25958.8,17167.2,17032.1
233,25958,17165.8,17035
234,25957.3,17165.1,17000.7
235,25956.5,17164.7,17002.6
236,25955.7,17164.1,17006.9
237,25955,17164.2,17008.5
