,,green arch,yellow banana arch,cabbage black sphere,orange carrot cylinder,white corn cylinder,blue cube,red cuboid,green cucumber cylinder,blue cylinder,black eggplant cylinder,yellow lemon sphere,green lime sphere,orange sphere,purple plum sphere,brown potato sphere,yellow semicylinder,red tomato sphere,green triangle
,,arch/arch_3,banana/banana_3,cabbage/cabbage_3,carrot/carrot_3,corn/corn_3,cube/cube_3,cuboid/cuboid_3,cucumber/cucumber_3,cylinder/cylinder_3,eggplant/eggplant_3,lemon/lemon_3,lime/lime_3,orange/orange_3,plum/plum_3,potato/potato_3,semicylinder/semicylinder_3,tomato/tomato_3,triangle/triangle_3
apple,rgb,0.356465,0.808499,0.956702,0.914204,0.81832,0.937414,0.999285,0.917721,0.923024,0.958445,0.88148,0.713914,0.97806,0.988512,0.893302,0.664732,0.996533,0.855357
apple,shape,0.000371967,1.15997e-06,5.16561e-05,2.31387e-06,4.62377e-07,0.251277,0.0112797,6.76183e-09,1.47065e-05,0.588674,0.335586,0.985515,0.99872,0.980958,0.000981844,5.71857e-09,0.726657,0.000641539
apple,object,8.46009e-05,1.38801e-07,2.94012e-05,9.29852e-07,1.66546e-06,0.267918,0.00599144,9.97946e-09,2.35688e-05,0.579277,0.335394,0.987185,0.998708,0.984757,0.000949105,5.94317e-09,0.730582,0.000467361
arch,rgb,0.0677607,0.0458261,0.0577549,0.0585397,0.0611905,0.0717846,0.0429775,0.0522292,0.0731305,0.0549786,0.0368127,0.0454629,0.0417676,0.053775,0.0505909,0.0379657,0.0444159,0.0556196
arch,shape,0.98328,0.33411,0.000313971,0.323698,8.41028e-07,9.62022e-06,0.0701587,0.0142973,0.152032,0.230009,4.92545e-07,2.50965e-13,1.34956e-13,4.79101e-08,1.91075e-07,2.842e-11,0.00110525,0.198417
arch,object,0.842599,0.318285,0.000189689,0.424459,4.53788e-06,3.25925e-05,0.170367,0.00587656,0.157926,0.203462,2.90502e-08,4.26628e-14,7.72663e-14,9.80747e-08,1.7429e-07,1.53567e-12,0.000492917,0.0312128
arched,rgb,0.0341685,0.0182669,0.0255728,0.0370063,0.0337224,0.037071,0.0179568,0.0193011,0.0390169,0.022514,0.0116969,0.0148835,0.0149261,0.0236199,0.0237705,0.0119066,0.0168579,0.0214381
arched,shape,0.945264,0.00161703,2.12467e-05,0.00260802,9.46513e-11,0.00209831,0.00115602,0.000202266,1.07876e-05,0.000623696,4.57303e-11,1.4471e-06,5.84017e-09,4.82895e-05,7.39469e-11,2.13533e-11,1.71299e-06,0.000460943
arched,object,0.916353,0.00118905,2.07913e-05,0.00313935,1.04407e-10,0.00245262,0.00123298,0.000241623,1.12949e-05,0.00058359,6.57737e-11,1.57322e-06,6.07666e-09,4.67651e-05,9.87261e-11,2.94992e-11,1.80363e-06,0.000504554
