Token,Type,Accuracy,Precision,Recall,F1-Score,Results,tomato/tomato_4,cylinder/cylinder_4,cube/cube_4,lemon/lemon_2,potato/potato_1,cuboid/cuboid_4,plum/plum_4,corn/corn_2,semicylinder/semicylinder_3,carrot/carrot_3,cucumber/cucumber_1,eggplant/eggplant_2,orange/orange_3,triangle/triangle_3,cabbage/cabbage_3,arch/arch_3,banana/banana_3,lime/lime_1
arch,rgb,0.6229,0.5,1.0,0.6667,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.2, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.5455, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.6, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.6667, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.2, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
arch,shape,0.963,0.9444,1.0,0.9714,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.3333, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
banana,rgb,0.9352,0.8889,1.0,0.9412,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.8333, Prec : 0.0,Recall : 1.0, F1-Score : 0.0"
banana,shape,0.9259,0.8889,1.0,0.9412,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.6667, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
block,rgb,0.6741,0.6111,1.0,0.7586,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.6, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.2, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.3333, Prec : 0.0,Recall : 1.0, F1-Score : 0.0"
block,shape,0.6156,0.4444,1.0,0.6154,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.6364, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.2, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.6667, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.8, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.7778, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
blue,rgb,1.0,1.0,1.0,1.0,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
blue,shape,0.8611,0.7222,1.0,0.8387,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.8, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.4, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.2, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.6, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.5, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
brown,rgb,0.9444,0.9444,1.0,0.9714,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.0, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
brown,shape,0.9565,0.8333,1.0,0.9091,,"Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.75, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 0.8, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 0.6667, Prec : 0.0,Recall : 1.0, F1-Score : 0.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0","Acc : 1.0, Prec : 1.0,Recall : 1.0, F1-Score : 1.0"
