Token,Type,blue,brown,green,orange,purple,red,white,yellow
arch,rgb,0.23330442637230892,0.073163814582675485,0.65883054668413987,0.40166540202339063,0.077645002418893994,0.053841022245883351,0.15698061630674578,0.24542108967559351
banana,rgb,2.4595121451071015e-123,4.4135891902366885e-16,1.0985811433100816e-08,7.4517081597839325e-26,0.00015759478061836904,1.5741728217476706e-172,2.7142570092543431e-16,0.086978828029800379
block,rgb,0.99425476890931996,0.00084552747932858615,0.59692973281594008,0.14065580818689047,0.019007014314475709,0.030447540515642003,0.00036727338644230171,0.42128605462999391
blue,rgb,0.99903069371779107,1.062759034290093e-05,6.0803228930300451e-06,2.0814380084791444e-17,0.00038307643645952167,5.9650235276384275e-07,7.5107084446112399e-22,9.9417058793973792e-08
brown,rgb,1.238471451455293e-58,0.99908637794378941,4.215108199775009e-18,1.4671223256848293e-05,5.4888412631538959e-06,1.7831225577682158e-37,3.9617946665984636e-19,1.2274908725759676e-12
cabbage,rgb,1.764309817806603e-07,2.5503143798904868e-52,3.0821058470765373e-34,3.5312484885690376e-170,0.33318689938026586,1.9063860899684256e-141,1.4803164749733715e-42,3.1773101499473759e-142
carrot,rgb,5.3362408202555997e-47,0.022057647370061505,5.4805096815989385e-14,0.33332229219915938,0.0002679143387796762,2.0771980162060029e-46,1.3733161231607957e-11,2.494518087367645e-14
corn,rgb,1.1676160036031296e-81,5.4040520777996635e-21,7.0328659700025873e-12,3.9347387373366722e-36,0.0079465038634053946,1.0051400938419106e-127,0.99442528220964499,1.6675821828112743e-22
cube,rgb,7.4741025522981366e-13,0.014094015127623583,0.50811714443858824,1.8633666963439091e-06,0.10278637645912959,0.012899404113428995,2.6508944064440685e-16,0.24076705720061131
cuboid,rgb,0.28999061992860886,0.0029183286512007062,0.02279496311007646,0.00049208098470767639,0.000470459913368197,0.60257518181397307,2.8593490237761166e-12,0.45257277063253798
cucumber,rgb,2.0123815095788231e-73,3.0842881894184694e-19,0.2496950064580844,2.1264909102257907e-67,1.0620117146857044e-05,6.0133536993425718e-111,5.5247711721313554e-21,8.1579676763238774e-11
cylinder,rgb,0.83454027619495363,0.00313398939565598,0.33611208998785874,5.3699908339719384e-19,0.034491215216614364,0.95601331376825072,3.7013523956201646e-35,0.15933555229470844
eggplant,rgb,1.5474816644255624e-282,4.846281582267571e-111,3.5980158737502497e-12,0.0,0.34568860687745517,0.0,0.0031236845390388438,5.0574559308087738e-291
ellipsoid,rgb,0.0081452470614291513,0.97268814828892813,0.22412289453594236,0.51058506251441749,0.55949450129382194,0.96020424709173824,0.21031885718000845,0.56027221059089094
green,rgb,6.1045580114169363e-84,1.0209406506022584e-05,0.9999999999998499,3.1127106494772706e-41,9.3667368667572383e-07,8.9504762466217989e-08,8.0966965237717671e-34,1.491747136105075e-08
lemon,rgb,4.3236291912120019e-19,3.7843346506336073e-10,3.8739663004656283e-11,1.2244499803863059e-11,1.7098839553586774e-06,1.850880620952618e-74,2.2245005607791655e-20,0.1668716571211962
lime,rgb,7.212113145020766e-157,8.1783700980259372e-11,0.25236628684310669,2.3496179739093376e-35,4.4964475986369467e-27,3.8002342981431153e-39,6.8040610258000469e-112,1.4448299417410713e-21
long-cone,rgb,1.3493736703225835e-85,3.8328918920504793e-10,5.1479169029798282e-15,0.33333333321200359,0.0069013904128240539,1.2719189300626818e-60,0.99667908900747859,3.9351834401549191e-30
orange,rgb,4.2132635627788241e-17,0.93249879580206307,2.295661235255798e-06,0.81135932065486926,0.0086863384227448739,2.6156292041115172e-11,4.921742244136296e-07,0.0015190486625245479
ovoid,rgb,2.5693355754009712e-183,1.3016815191642199e-84,0.24965071603675607,0.0,0.44510418693974679,0.0,0.0066291381786997196,9.7843945851063916e-148
plum,rgb,6.9084708717338212e-14,4.1506818998518325e-07,5.7066459016776036e-43,6.5364342474045578e-51,0.015622427709185359,0.0010003273628187749,5.0811008961910582e-71,0.00016672122713646249
potato,rgb,1.2911077892894456e-55,0.99862857642803782,1.8693132204908045e-17,3.1147740769902997e-05,5.5385537888332173e-06,3.5994856226695559e-34,1.4633331614179528e-18,1.3422481257467381e-11
purple,rgb,3.9289594349773666e-08,0.0057515715377409564,0.10689866475631533,4.033211841077731e-21,0.66621081649103442,7.9586783224873222e-09,0.28286879709567653,1.3264463870815804e-09
red,rgb,3.6965728606464571e-11,0.00044852647342511295,6.7457570668718463e-34,0.33384319318668237,1.4930160718279374e-18,0.98555642723947035,1.5377598782114139e-101,0.16425940737170433
semicylinder,rgb,0.52944495372544442,0.15671361456196142,0.22408830736783528,0.18025910447943633,0.033513082497127894,0.62129095449204841,4.2078073983789885e-06,0.67564020102541689
tomato,rgb,1.4669188979513893e-11,4.4225887520866313e-05,4.0916765364144907e-65,0.16666788069848881,3.0271396385807155e-19,0.98470226642166248,6.476503657296873e-142,0.16411704440361041
triangle,rgb,0.82060761786884218,0.044244787876921744,0.55159097861027884,1.0128852244486317e-06,0.21894898266998966,0.48100302967451142,0.0012467921836147916,0.08016717330540464
white,rgb,1.1676213292368747e-81,5.4040551162372896e-21,7.0328699806677039e-12,3.9347399700615717e-36,0.0079465039867294956,1.0051454953288619e-127,0.99442528234069028,1.6675831062960297e-22
yellow,rgb,1.1200456694047528e-10,3.2779411844442014e-09,9.6610662203671744e-09,9.6863764864628647e-13,0.00060164363894298089,1.1030055926313416e-59,0.0028064358871576632,0.83306831373021251
