Token,Type,Accuracy,Precision,Recall,F1-Score,Results,cylinder/cylinder_1,cube/cube_4,triangle/triangle_3,cuboid/cuboid_2,arch/arch_1,semicylinder/semicylinder_1
blue,rgb,1.0,1.0,1.0,1.0,"[,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,1, ,1, ,1, ,1,]",,,,,,
blue,shape,0.7586,0.7586,0.7586,0.7586,"[,0, ,0, ,0, ,0, ,0, ,0, ,1, ,0, ,0, ,1, ,1, ,1, ,1, ,0, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,0, ,0, ,0, ,0, ,0, ,0,]",,,,,,
cylinder,rgb,0.7241,0.7241,0.7241,0.7241,"[,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,0, ,1, ,0, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,1, ,1, ,0,]",,,,,,
cylinder,shape,0.8276,0.8276,0.8276,0.8276,"[,1, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,0, ,1, ,0,]",,,,,,
cube,rgb,0.3448,0.3448,0.3448,0.3448,"[,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0,]",,,,,,
cube,shape,1.0,1.0,1.0,1.0,"[,0, ,0, ,0, ,0, ,0, ,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,]",,,,,,
triangle,rgb,0.4828,0.4828,0.4828,0.4828,"[,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,1,]",,,,,,
triangle,shape,0.8966,0.8966,0.8966,0.8966,"[,0, ,0, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,]",,,,,,
cuboid,rgb,0.7241,0.7241,0.7241,0.7241,"[,0, ,0, ,0, ,0, ,0, ,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,0, ,1, ,1, ,0, ,0, ,0, ,0, ,0,]",,,,,,
cuboid,shape,0.931,0.931,0.931,0.931,"[,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,1, ,1, ,1, ,1, ,0, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,0,]",,,,,,
semicylinder,rgb,0.4828,0.4828,0.4828,0.4828,"[,1, ,1, ,1, ,1, ,1, ,0, ,0, ,1, ,1, ,0, ,1, ,0, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0,]",,,,,,
semicylinder,shape,0.8966,0.8966,0.8966,0.8966,"[,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,0, ,1, ,0, ,1,]",,,,,,
yellow,rgb,1.0,1.0,1.0,1.0,"[,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0,]",,,,,,
yellow,shape,0.6897,0.6897,0.6897,0.6897,"[,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,0, ,1, ,0, ,0, ,0, ,0, ,1, ,0, ,0, ,1, ,0, ,1, ,0, ,0, ,0,]",,,,,,
green,rgb,1.0,1.0,1.0,1.0,"[,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,]",,,,,,
green,shape,0.8276,0.8276,0.8276,0.8276,"[,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,0, ,1, ,0,]",,,,,,
red,rgb,1.0,1.0,1.0,1.0,"[,0, ,0, ,0, ,0, ,0, ,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,]",,,,,,
red,shape,0.5172,0.5172,0.5172,0.5172,"[,0, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,1, ,1, ,0, ,1, ,0, ,1, ,1, ,1, ,1, ,0, ,1, ,0, ,1,]",,,,,,
arch,rgb,0.8621,0.8621,0.8621,0.8621,"[,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,1, ,1, ,0, ,1,]",,,,,,
arch,shape,0.8966,0.8966,0.8966,0.8966,"[,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,0, ,0, ,0, ,0, ,0,]",,,,,,
